"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
224585531,Photo,"Calypte costae","Costa's Hummingbird",,"Aaron Maizlish",4/17/2020,2020,4,17,1534,"United States",US-CA-001,California,Alameda,"Claremont Canyon Regional Preserve",37.8661,-122.2396,,,,Unspecified,,,,,,,,S67383320,,,,,"Adult male. Photos to follow.  Found by Teale Fristoe.  I think I have a female too, which I will study.",,,,"Calypte costae",coshum,Species,4666.0,,,4.864864864864865,37,committed,,"https://ebird.org/profile/MjMwNjE0",1920,2880,"https://macaulaylibrary.org/asset/224585531","https://ebird.org/view/checklist/S67383320","https://ebird.org/species/coshum",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",coshum
120992971,Photo,"Rallus obsoletus obsoletus","Ridgway's Rail (San Francisco Bay)",,"Aaron Maizlish",12/18/2014,2014,12,18,835,"United States",US-CA-001,California,Alameda,"MLK Jr. Regional Shoreline--Arrowhead Marsh",37.7422,-122.2112,,Unknown,,Unspecified,,,,,,,,S20945947,,,,,,,,,"Rallus obsoletus",clarai3,Group,5069.0,,,5.0,13,committed,,"https://ebird.org/profile/MjMwNjE0",2800,4200,"https://macaulaylibrary.org/asset/120992971","https://ebird.org/view/checklist/S20945947","https://ebird.org/species/ridrai1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ridrai1
228774021,Photo,"Setophaga dominica","Yellow-throated Warbler",,"Aaron Maizlish",4/29/2020,2020,4,29,1526,"United States",US-CA-075,California,"San Francisco","Fort Mason Park",37.8052,-122.4286,,,,Unspecified,,,,,,,,S68081702,,,,,"Stakeout, found by David Assmann this morning.  Returned to Blue Spruce where initially seen.  Viewed for about 4 minutes with Jonah Benningfield and Cliff Yap.",,,,"Setophaga dominica",yetwar,Species,32867.0,,,4.866666666666666,15,committed,,"https://ebird.org/profile/MjMwNjE0",1504,2249,"https://macaulaylibrary.org/asset/228774021","https://ebird.org/view/checklist/S68081702","https://ebird.org/species/yetwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",yetwar
258408081,Photo,"Phalaropus lobatus","Red-necked Phalarope",,"Aaron Maizlish",8/27/2020,2020,8,27,1640,"United States",US-CA-075,California,"San Francisco","Pier 94--salt marsh restoration",37.7457,-122.3755,,,,Unspecified,,,,,,,,S72888755,,,,,,,,,"Phalaropus lobatus",renpha,Species,5965.0,,,4.923076923076923,13,committed,,"https://ebird.org/profile/MjMwNjE0",3200,4800,"https://macaulaylibrary.org/asset/258408081","https://ebird.org/view/checklist/S72888755","https://ebird.org/species/renpha",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",renpha
97811471,Photo,"Rallus obsoletus","Ridgway's Rail",,"Aaron Maizlish",4/7/2016,2016,4,7,1230,"United States",US-CA-001,California,Alameda,"MLK Jr. Regional Shoreline--Arrowhead Marsh",37.7422,-122.2112,,Unknown,,Unspecified,,,,,,,,S45201580,,,,,,,,,"Rallus obsoletus",ridrai1,Species,5068.0,,,4.6,20,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/97811471","https://ebird.org/view/checklist/S45201580","https://ebird.org/species/ridrai1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ridrai1
119074471,Photo,"Charadrius hiaticula","Common Ringed Plover",,"Aaron Maizlish",10/15/2018,2018,10,15,920,"United States",US-CA-041,California,Marin,"Pt. Reyes--Abbotts Lagoon",38.1191,-122.9522,,Unknown,,Unspecified,,,,,,,,S49220179,,,,,,,,,"Charadrius hiaticula",corplo,Species,5717.0,,,4.916666666666667,12,committed,,"https://ebird.org/profile/MjMwNjE0",1068,1600,"https://macaulaylibrary.org/asset/119074471","https://ebird.org/view/checklist/S49220179","https://ebird.org/species/corplo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",corplo
58348931,Photo,"Thalassarche salvini","Salvin's Albatross",,"Aaron Maizlish",7/26/2014,2014,7,26,1245,"United States",US-CA-081,California,"San Mateo","Sixth leg - Jul 26, 2014",37.2942,-122.8613,,Unknown,,Unspecified,,,,,,,,S36920413,,,,,"Juvenile. Observed for over 40 minutes.",,,,"Thalassarche salvini",salalb1,Species,6589.0,,,4.846153846153846,13,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/58348931","https://ebird.org/view/checklist/S36920413","https://ebird.org/species/salalb1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",salalb1
97699671,Photo,"Rallus obsoletus obsoletus","Ridgway's Rail (San Francisco Bay)",,"Aaron Maizlish",12/18/2014,2014,12,18,835,"United States",US-CA-001,California,Alameda,"MLK Jr. Regional Shoreline--Arrowhead Marsh",37.7422,-122.2112,,Unknown,,Unspecified,,,,,,,,S20945947,,,,,,,,,"Rallus obsoletus",clarai3,Group,5069.0,,,4.9,10,committed,,"https://ebird.org/profile/MjMwNjE0",1066,1600,"https://macaulaylibrary.org/asset/97699671","https://ebird.org/view/checklist/S20945947","https://ebird.org/species/ridrai1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ridrai1
228774061,Photo,"Setophaga dominica","Yellow-throated Warbler",,"Aaron Maizlish",4/29/2020,2020,4,29,1526,"United States",US-CA-075,California,"San Francisco","Fort Mason Park",37.8052,-122.4286,,,,Unspecified,,,,,,,,S68081702,,,,,"Stakeout, found by David Assmann this morning.  Returned to Blue Spruce where initially seen.  Viewed for about 4 minutes with Jonah Benningfield and Cliff Yap.",,,,"Setophaga dominica",yetwar,Species,32867.0,,,4.75,12,committed,,"https://ebird.org/profile/MjMwNjE0",1920,2880,"https://macaulaylibrary.org/asset/228774061","https://ebird.org/view/checklist/S68081702","https://ebird.org/species/yetwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",yetwar
97377011,Photo,"Falco sparverius","American Kestrel",,"Aaron Maizlish",7/29/2012,2012,7,29,915,"United States",US-CA-051,California,Mono,"Bodie SP",38.2116,-119.0126,,Unknown,,Unspecified,,,,,,,,S11243340,,,,,,,,,"Falco sparverius",amekes,Species,11407.0,,,5.0,8,committed,,"https://ebird.org/profile/MjMwNjE0",1200,1800,"https://macaulaylibrary.org/asset/97377011","https://ebird.org/view/checklist/S11243340","https://ebird.org/species/amekes",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",amekes
