"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
271125471,Photo,"Calypte costae","Costa's Hummingbird",,"Cris Heins",10/5/2020,2020,10,5,722,"United States",US-CA-013,California,"Contra Costa","Acacia Lane (private--incl. Querula)",37.8648,-122.0214,,Adult,"Foraging or Eating",Unspecified,,,,,,,,S74834437,,,,,Cont,,,,"Calypte costae",coshum,Species,4666.0,,,5.0,4,committed,habitat,"https://ebird.org/profile/MTIxMDkwOQ",1031,1148,"https://macaulaylibrary.org/asset/271125471","https://ebird.org/view/checklist/S74834437","https://ebird.org/species/coshum",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",coshum
271127161,Photo,"Calypte anna","Anna's Hummingbird",,"Cris Heins",10/5/2020,2020,10,5,722,"United States",US-CA-013,California,"Contra Costa","Acacia Lane (private--incl. Querula)",37.8648,-122.0214,,"Immature Male","Foraging or Eating",Unspecified,,,,,,,,S74834437,,,,"Could be a Subadult male",,,,,"Calypte anna",annhum,Species,4663.0,,,5.0,3,committed,habitat,"https://ebird.org/profile/MTIxMDkwOQ",1883,2337,"https://macaulaylibrary.org/asset/271127161","https://ebird.org/view/checklist/S74834437","https://ebird.org/species/annhum",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",annhum
131081281,Photo,"Polioptila caerulea","Blue-gray Gnatcatcher",,"Cris Heins",12/23/2018,2018,12,23,1220,"United States",US-CA-099,California,Stanislaus,"San Joaquin River NWR--Pelican Nature Trail ",37.6248,-121.2074,,Adult,,Unspecified,,,,,,,,S50954890,,,,,,,,,"Polioptila caerulea",buggna,Species,26030.0,,,4.25,4,committed,,"https://ebird.org/profile/MTIxMDkwOQ",2053,3079,"https://macaulaylibrary.org/asset/131081281","https://ebird.org/view/checklist/S50954890","https://ebird.org/species/buggna",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",buggna
170104961,Photo,"Leptosittaca branickii","Golden-plumed Parakeet",,"Cris Heins",7/4/2019,2019,7,4,842,Colombia,CO-CAL,Caldas,,"Reserva Ecológica Río Blanco",5.0695,-75.4413,,Unknown,,Unspecified,,,,,,,,S57928050,,,,,,,,,"Leptosittaca branickii",goppar1,Species,12495.0,,,4.666666666666667,3,committed,,"https://ebird.org/profile/MTIxMDkwOQ",1328,1992,"https://macaulaylibrary.org/asset/170104961","https://ebird.org/view/checklist/S57928050","https://ebird.org/species/goppar1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",goppar1
254383491,Photo,"Aix sponsa","Wood Duck",,"Cris Heins",8/8/2020,2020,8,8,835,"United States",US-CA-075,California,"San Francisco","Golden Gate Park--Stow Lake",37.7675,-122.4734,,Unknown,"Foraging or Eating",Unspecified,,,,,,,,S72234567,,,,"Adult non-breeding; Eclipse Male","continuing, associating with tame group of Mallards",,,,"Aix sponsa",wooduc,Species,397.0,,,5.0,2,committed,habitat,"https://ebird.org/profile/MTIxMDkwOQ",1569,2551,"https://macaulaylibrary.org/asset/254383491","https://ebird.org/view/checklist/S72234567","https://ebird.org/species/wooduc",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wooduc
180427061,Photo,"Cardellina pusilla","Wilson's Warbler",,"Cris Heins",10/4/2019,2019,10,4,759,"United States",US-CA-075,California,"San Francisco","Golden Gate Park--Stow Lake",37.7675,-122.4734,,,,Unspecified,,,,,,,,S60347741,,,,,,,,,"Cardellina pusilla",wlswar,Species,33029.0,,,5.0,2,committed,,"https://ebird.org/profile/MTIxMDkwOQ",853,1279,"https://macaulaylibrary.org/asset/180427061","https://ebird.org/view/checklist/S60347741","https://ebird.org/species/wlswar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wlswar
180425441,Photo,"Setophaga occidentalis","Hermit Warbler",,"Cris Heins",10/4/2019,2019,10,4,759,"United States",US-CA-075,California,"San Francisco","Golden Gate Park--Stow Lake",37.7675,-122.4734,,,,Unspecified,,,,,,,,S60347741,,,,,,,,,"Setophaga occidentalis",herwar,Species,32901.0,,,5.0,2,committed,,"https://ebird.org/profile/MTIxMDkwOQ",1183,1775,"https://macaulaylibrary.org/asset/180425441","https://ebird.org/view/checklist/S60347741","https://ebird.org/species/herwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",herwar
170180441,Photo,"Cistothorus platensis","Sedge Wren",,"Cris Heins",7/5/2019,2019,7,5,721,Colombia,CO-CAL,Caldas,,"Vía al Parque Nacional Los Nevados, Caldas, CO (4,98, -75,335)",4.9804,-75.3354,,Adult,,Unspecified,,,,,,,,S57947822,,,,,,,,,"Cistothorus platensis",sedwre,Species,26242.0,,,5.0,2,committed,,"https://ebird.org/profile/MTIxMDkwOQ",981,1472,"https://macaulaylibrary.org/asset/170180441","https://ebird.org/view/checklist/S57947822","https://ebird.org/species/sedwre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",sedwre
170270651,Photo,"Premnoplex brunnescens","Spotted Barbtail",,"Cris Heins",7/6/2019,2019,7,6,606,Colombia,CO-RIS,Risaralda,,"Parque Regional Ucumari--El Cedral",4.7021,-75.5359,,Adult,,Unspecified,,,,,,,,S58069358,,,,,,,,,"Premnoplex brunnescens",spobar1,Species,14550.0,,,3.75,4,committed,,"https://ebird.org/profile/MTIxMDkwOQ",2069,3103,"https://macaulaylibrary.org/asset/170270651","https://ebird.org/view/checklist/S58069358","https://ebird.org/species/spobar1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",spobar1
251355301,Photo,"Rallus limicola","Virginia Rail",,"Cris Heins",7/17/2020,2020,7,17,925,"United States",US-CA-063,California,Plumas,"Sierra Valley--Marble Hot Springs Rd. bridge",39.7555,-120.3543,,,,Unspecified,,,,,,,,S71623850,,,,,,,,,"Rallus limicola",virrai,Species,5108.0,,,4.5,2,committed,,"https://ebird.org/profile/MTIxMDkwOQ",1984,2253,"https://macaulaylibrary.org/asset/251355301","https://ebird.org/view/checklist/S71623850","https://ebird.org/species/virrai",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",virrai
