ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
282171171,Photo,Undulated Tinamou,Crypturellus undulatus,,Derek Heins,2018-06-27,2018,6,27,0,Brazil,BR-AM,Amazonas,,Heliconia Lodge,-4.2080952,-70.5198669,"","",Unspecified,"","",,,,,,,S48122341,"",,,,Heard only,Crypturellus undulatus,undtin1,Species,83,,2.50,2,"Egg(s); Nest; No bird",2448,3264
478087261,Photo,White-faced Whistling-Duck,Dendrocygna viduata,,Derek Heins,2022-07-15,2022,7,15,804,Uganda,UG-C,Central,,Mabamba Swamp--Main channel,0.0659180,32.3546934,"",,Unspecified,"","",,,,,,,S115381274,"",,,,,Dendrocygna viduata,wfwduc1,Species,,,.00,0,,1414,1500
412266431,Photo,Black-bellied Whistling-Duck,Dendrocygna autumnalis,,Derek Heins,2022-01-21,2022,1,21,1436,Costa Rica,CR-A,Alajuela,,Cano Negro--Rio Frio South,10.8831392,-84.7913861,"",,Unspecified,"","",,,,,,,S101214884,"",,,,,Dendrocygna autumnalis,bbwduc,Species,221,,.00,0,,852,1400
432057051,Photo,West Indian Whistling-Duck,Dendrocygna arborea,,Derek Heins,2022-03-28,2022,3,28,1903,Cuba,CU-08,Ciego de Ávila,,Pond across from Sol Cayo Coco,22.5345086,-78.3557448,"",,Unspecified,"","",,,,,,,S106031428,"",,,,,Dendrocygna arborea,wiwduc1,Species,224,,.00,0,,1867,2000
281816751,Photo,Lesser Whistling-Duck,Dendrocygna javanica,,Derek Heins,2020-02-12,2020,2,12,1530,Sri Lanka,LK-82-010,Monaragala,Thanamalvila,Uda Walawe NP,6.4891000,80.8658000,"",,Unspecified,"","",,,,,,,S64552376,"",,,,,Dendrocygna javanica,lewduc1,Species,233,,.00,0,,796,1027
282168921,Photo,Emperor Goose,Anser canagicus,,Derek Heins,2017-01-28,2017,1,28,900,United States,US-CA-081,California,San Mateo,Sharp Park Beaches,37.6295275,-122.4951553,"",,Unspecified,"","",,,,,,,S40458465,"",,,,continuing bird,Anser canagicus,empgoo,Species,,,3.00,2,,2448,2448
282168931,Photo,Emperor Goose,Anser canagicus,,Derek Heins,2017-01-28,2017,1,28,900,United States,US-CA-081,California,San Mateo,Sharp Park Beaches,37.6295275,-122.4951553,"",,Unspecified,"","",,,,,,,S40458465,"",,,,continuing bird,Anser canagicus,empgoo,Species,,,3.00,2,,2448,2448
214573051,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-03-09,2020,3,9,1113,United States,US-CA-013,California,Contra Costa,Bethel Island,38.0320688,-121.6374509,"",,Unspecified,"","",,,,,,,S65623757,"",,,,,Anser caerulescens,snogoo,Species,,,1.00,1,,680,1211
247072461,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-07-02,2020,7,2,618,United States,US-CA-089,California,Shasta,Squaw Valley Rd. (SHA Co.),41.1829490,-122.1468580,"",,Unspecified,"","",,,,,,,S71052911,"",,,,Same as soon two days ago. Will add photos later,Anser caerulescens,snogoo,Species,240,,.00,0,,3648,5472
247081611,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-07-02,2020,7,2,618,United States,US-CA-089,California,Shasta,Squaw Valley Rd. (SHA Co.),41.1829490,-122.1468580,"",,Unspecified,"","",,,,,,,S71052911,"",,,,Same as soon two days ago. Will add photos later,Anser caerulescens,snogoo,Species,240,,.00,0,,3648,5472
275415961,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-10-28,2020,10,28,1452,United States,US-CA-013,California,Contra Costa,San Francisco Bay Trail--S 51st St.,37.9096009,-122.3274529,"",,Unspecified,"","",,,,,,,S75540583,"",,,,Circled the pond a few times and left,Anser caerulescens,snogoo,Species,240,,.00,0,,631,909
284487331,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-12-01,2020,12,1,1013,United States,US-CA-001,California,Alameda,MLK Jr. Regional Shoreline--Arrowhead Marsh,37.7421628,-122.2112274,"",,Unspecified,"","",,,,,,,S76957676,"",,,,,Anser caerulescens,snogoo,Species,240,,.00,0,,852,1132
284487341,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-12-01,2020,12,1,1013,United States,US-CA-001,California,Alameda,MLK Jr. Regional Shoreline--Arrowhead Marsh,37.7421628,-122.2112274,"",,Unspecified,"","",,,,,,,S76957676,"",,,,,Anser caerulescens,snogoo,Species,240,,.00,0,,759,1306
284488401,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2020-12-01,2020,12,1,1110,United States,US-CA-001,California,Alameda,San Francisco Bay Trail--Tony Lema Golf Course,37.6844064,-122.1786831,"",,Unspecified,"","",,,,,,,S76958056,"",,,,,Anser caerulescens,snogoo,Species,240,,.00,0,,610,816
310864671,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2021-02-23,2021,2,23,855,United States,US-CA-013,California,Contra Costa,Bethel Island,38.0320688,-121.6374509,"",,Unspecified,"","",,,,,,,S82231070,"",,,,,Anser caerulescens,snogoo,Species,240,,.00,0,,851,1137
399563231,Photo,Snow Goose,Anser caerulescens,,Derek Heins,2021-12-27,2021,12,27,1415,United States,US-CA-013,California,Contra Costa,Miller/Knox Regional Shoreline,37.9162036,-122.3865795,"",,Unspecified,"","",,,,,,,S99548258,"",,,,,Anser caerulescens,snogoo,Species,242,,.00,0,,1003,1700
