"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
270141911,Photo,"Empidonax hammondii","Hammond's Flycatcher",,"Jack Hayden",10/11/2020,2020,10,11,1014,"United States",US-CA-013,California,"Contra Costa","Miller/Knox Regional Shoreline",37.9162,-122.3866,,,,Unspecified,,,,,,,,S74703826,,,,,"Rare for this date and location. Empid with gray-olive head, mantle and back, grey cheeks, light gray throat, grayish green chest and belly, whitish vent. Narrow short bill, black on top, black tipped fading to dull orange on bottom. Medium primary projection. Two prominent white wing bars. Blocky head shape. White eye ring with tear shape to the rear of the eye. Silent. Feeding and perching low, landing on the ground several times. Seen not far from where the Palm Warbler was seen (scrub area south of the playground area). 37.912754, -122.386627 Please see photos.",,,,"Empidonax hammondii",hamfly,Species,16191.0,,,5.0,2,committed,,,,,"https://macaulaylibrary.org/asset/270141911","https://ebird.org/view/checklist/S74703826","https://ebird.org/species/hamfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",hamfly
238624041,Photo,"Corvus brachyrhynchos","American Crow",,"Jack Hayden",5/24/2020,2020,5,24,1900,"United States",US-CA-001,California,Alameda,"Visalia House",37.899,-122.2844,,,,Unspecified,,,,,,,,S69640643,,,,,,,,,"Corvus brachyrhynchos",amecro,Species,20638.0,,,4.0,3,committed,non_bird,,,,"https://macaulaylibrary.org/asset/238624041","https://ebird.org/view/checklist/S69640643","https://ebird.org/species/amecro",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",amecro
274548591,Photo,"Recurvirostra americana","American Avocet",,"Jack Hayden",10/25/2020,2020,10,25,1133,"United States",US-CA-001,California,Alameda,"Hayward Regional Shoreline",37.6419,-122.1517,,,,Unspecified,,,,,,,,S75409935,,,,,,,,,"Recurvirostra americana",ameavo,Species,5587.0,,,4.5,2,committed,,,,,"https://macaulaylibrary.org/asset/274548591","https://ebird.org/view/checklist/S75409935","https://ebird.org/species/ameavo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ameavo
273196991,Photo,"Regulus satrapa","Golden-crowned Kinglet",,"Jack Hayden",10/21/2020,2020,10,21,853,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S75181269,,,,,,,,,"Regulus satrapa",gockin,Species,25790.0,,,3.6666666666666665,3,committed,,,,,"https://macaulaylibrary.org/asset/273196991","https://ebird.org/view/checklist/S75181269","https://ebird.org/species/gockin",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",gockin
264652921,Photo,"Setophaga palmarum","Palm Warbler",,"Jack Hayden",9/21/2020,2020,9,21,857,"United States",US-CA-013,California,"Contra Costa","Miller/Knox Regional Shoreline",37.9162,-122.3866,,,,Unspecified,,,,,,,,S73877693,,,,,"Continuing bird reported by Derek Heinz. In area noted by Derek.",,,,"Setophaga palmarum",palwar,Species,32848.0,,,3.6666666666666665,3,committed,,,,,"https://macaulaylibrary.org/asset/264652921","https://ebird.org/view/checklist/S73877693","https://ebird.org/species/palwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",palwar
147051061,Photo,"Vireo cassinii","Cassin's Vireo",,"Jack Hayden",3/23/2019,2019,3,23,1435,"United States",US-CA-001,California,Alameda,"Creekside Park (ALA Co.)",37.8981,-122.3047,,Unknown,,Unspecified,,,,,,,,S54153529,,,,,"Small warbler-sized bird foraging in willows. Distinct white wrap around the eyes with black lores. Light slaty-blue head, dull greenish-blue back, wings and tail. Two whitish wing bars. Light yellow wash to the flanks. White throat with transition, at sides, to head color. Silent. Will add pictures.",,,,"Vireo cassinii",casvir,Species,18377.0,,,3.6666666666666665,3,committed,,,,,"https://macaulaylibrary.org/asset/147051061","https://ebird.org/view/checklist/S54153529","https://ebird.org/species/casvir",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",casvir
269356401,Photo,"Setophaga townsendi","Townsend's Warbler",,"Jack Hayden",10/8/2020,2020,10,8,1344,"United States",US-CA-075,California,"San Francisco","Ferry / Sue Bierman Parks",37.7959,-122.3965,,,,Unspecified,,,,,,,,S74582258,,,,,,,,,"Setophaga townsendi",towwar,Species,32897.0,,,4.0,2,committed,,,,,"https://macaulaylibrary.org/asset/269356401","https://ebird.org/view/checklist/S74582258","https://ebird.org/species/towwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",towwar
259710621,Photo,"Gavia stellata","Red-throated Loon",,"Jack Hayden",8/30/2020,2020,8,30,1150,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S73000968,,,,,"Reported previously. Loon with breeding plumage neck and head. Maroon throat area, grey face and head, black bill. Narrow black and white vertical stripes on back of neck. Photos.",,,,"Gavia stellata",retloo,Species,6541.0,,,4.0,2,committed,,,,,"https://macaulaylibrary.org/asset/259710621","https://ebird.org/view/checklist/S73000968","https://ebird.org/species/retloo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",retloo
259710611,Photo,"Gavia stellata","Red-throated Loon",,"Jack Hayden",8/30/2020,2020,8,30,1150,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S73000968,,,,,"Reported previously. Loon with breeding plumage neck and head. Maroon throat area, grey face and head, black bill. Narrow black and white vertical stripes on back of neck. Photos.",,,,"Gavia stellata",retloo,Species,6541.0,,,4.0,2,committed,,,,,"https://macaulaylibrary.org/asset/259710611","https://ebird.org/view/checklist/S73000968","https://ebird.org/species/retloo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",retloo
275324731,Photo,"Accipiter cooperii","Cooper's Hawk",,"Jack Hayden",10/28/2020,2020,10,28,810,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S75524705,,,,,"Mobbed and harassed by about 10 crows",,,,"Accipiter cooperii",coohaw,Species,7829.0,,,3.3333333333333335,3,committed,,,,,"https://macaulaylibrary.org/asset/275324731","https://ebird.org/view/checklist/S75524705","https://ebird.org/species/coohaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",coohaw
265192601,Photo,"Psaltriparus minimus",Bushtit,,"Jack Hayden",9/23/2020,2020,9,23,820,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S73965375,,,,,,,,,"Psaltriparus minimus",bushti,Species,24234.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/265192601","https://ebird.org/view/checklist/S73965375","https://ebird.org/species/bushti",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bushti
264653891,Photo,"Setophaga palmarum","Palm Warbler",,"Jack Hayden",9/21/2020,2020,9,21,857,"United States",US-CA-013,California,"Contra Costa","Miller/Knox Regional Shoreline",37.9162,-122.3866,,,,Unspecified,,,,,,,,S73877693,,,,,"Continuing bird reported by Derek Heinz. In area noted by Derek.",,,,"Setophaga palmarum",palwar,Species,32848.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/264653891","https://ebird.org/view/checklist/S73877693","https://ebird.org/species/palwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",palwar
259710701,Photo,"Melozone crissalis","California Towhee",,"Jack Hayden",8/30/2020,2020,8,30,1150,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S73000968,,,,,,,,,"Melozone crissalis",caltow,Species,32090.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/259710701","https://ebird.org/view/checklist/S73000968","https://ebird.org/species/caltow",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",caltow
259710671,Photo,"Sayornis nigricans","Black Phoebe",,"Jack Hayden",8/30/2020,2020,8,30,1150,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S73000968,,,,,,,,,"Sayornis nigricans",blkpho,Species,16224.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/259710671","https://ebird.org/view/checklist/S73000968","https://ebird.org/species/blkpho",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",blkpho
259710641,Photo,"Phalacrocorax pelagicus","Pelagic Cormorant",,"Jack Hayden",8/30/2020,2020,8,30,1150,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S73000968,,,,,,,,,"Phalacrocorax pelagicus",pelcor,Species,6961.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/259710641","https://ebird.org/view/checklist/S73000968","https://ebird.org/species/pelcor",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",pelcor
184841791,Photo,"Sturnella neglecta","Western Meadowlark",,"Jack Hayden",10/28/2019,2019,10,28,1331,"United States",US-CA-075,California,"San Francisco","Ferry / Sue Bierman Parks",37.7959,-122.3965,,,,Unspecified,,,,,,,,S61005219,,,,,,,,,"Sturnella neglecta",wesmea,Species,32298.0,,,5.0,1,committed,,,,,"https://macaulaylibrary.org/asset/184841791","https://ebird.org/view/checklist/S61005219","https://ebird.org/species/wesmea",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesmea
273201181,Photo,"Troglodytes aedon","House Wren",,"Jack Hayden",10/21/2020,2020,10,21,853,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S75181269,,,,,,,,,"Troglodytes aedon",houwre,Species,26127.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/273201181","https://ebird.org/view/checklist/S75181269","https://ebird.org/species/houwre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",houwre
272266801,Photo,"Setophaga townsendi","Townsend's Warbler",,"Jack Hayden",10/18/2020,2020,10,18,841,"United States",US-CA-013,California,"Contra Costa","Booker T Anderson Park",37.919,-122.3264,,,,Unspecified,,,,,,,,S75048453,,,,,,,,,"Setophaga townsendi",towwar,Species,32897.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/272266801","https://ebird.org/view/checklist/S75048453","https://ebird.org/species/towwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",towwar
268659701,Photo,"Setophaga nigrescens","Black-throated Gray Warbler",,"Jack Hayden",10/4/2020,2020,10,4,933,"United States",US-CA-013,California,"Contra Costa","Miller/Knox Regional Shoreline",37.9162,-122.3866,,,,Unspecified,,,,,,,,S74420332,,,,,,,,,"Setophaga nigrescens",btywar,Species,32892.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/268659701","https://ebird.org/view/checklist/S74420332","https://ebird.org/species/btywar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",btywar
265189321,Photo,"Accipiter striatus","Sharp-shinned Hawk",,"Jack Hayden",9/23/2020,2020,9,23,820,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S73965375,,,,,"This bird was being chased by a Cooper's. Through binos noticed squared rectrices on small accipiter being chased by larger accipiter.",,,,"Accipiter striatus",shshaw,Species,7816.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/265189321","https://ebird.org/view/checklist/S73965375","https://ebird.org/species/shshaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",shshaw
246524921,Photo,"Stelgidopteryx serripennis","Northern Rough-winged Swallow",,"Jack Hayden",6/28/2020,2020,6,28,1215,"United States",US-CA-097,California,Sonoma,"Summerhome Park",38.4981,-122.9393,,,,Unspecified,,,,,,,,S70936915,,,,,,,,,"Stelgidopteryx serripennis",nrwswa,Species,23036.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/246524921","https://ebird.org/view/checklist/S70936915","https://ebird.org/species/nrwswa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",nrwswa
211324651,Photo,"Troglodytes pacificus","Pacific Wren",,"Jack Hayden",2/22/2020,2020,2,22,1241,"United States",US-CA-097,California,Sonoma,"Armstrong Redwoods SP",38.538,-123.004,,,,Unspecified,,,,,,,,S64877064,,,,,,,,,"Troglodytes pacificus",pacwre1,Species,26218.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/211324651","https://ebird.org/view/checklist/S64877064","https://ebird.org/species/pacwre1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",pacwre1
138494671,Photo,"Melospiza lincolnii","Lincoln's Sparrow",,"Jack Hayden",4/6/2018,2018,4,6,1720,"United States",US-CA-001,California,Alameda,Yardbirds,37.8866,-122.2902,,Unknown,,Unspecified,,,,,,,,S52302391,,,,,,,,,"Melospiza lincolnii",linspa,Species,32051.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/138494671","https://ebird.org/view/checklist/S52302391","https://ebird.org/species/linspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",linspa
123265781,Photo,"Bucephala clangula","Common Goldeneye",,"Jack Hayden",11/12/2018,2018,11,12,935,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,Unknown,,Unspecified,,,,,,,,S49900054,,,,,,,,,"Bucephala clangula",comgol,Species,642.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/123265781","https://ebird.org/view/checklist/S49900054","https://ebird.org/species/comgol",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comgol
116202801,Photo,"Vireo huttoni","Hutton's Vireo",,"Jack Hayden",9/23/2018,2018,9,23,1030,"United States",US-CA-001,California,Alameda,"Berkeley Aquatic Park",37.8558,-122.2977,,Unknown,,Unspecified,,,,,,,,S48703161,,,,,,,,,"Vireo huttoni",hutvir,Species,19174.0,,,3.5,2,committed,,,,,"https://macaulaylibrary.org/asset/116202801","https://ebird.org/view/checklist/S48703161","https://ebird.org/species/hutvir",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",hutvir
286491451,Photo,"Aythya americana",Redhead,,"Jack Hayden",12/8/2020,2020,12,8,1622,"United States",US-CA-001,California,Alameda,"Cesar Chavez Park",37.8709,-122.315,,,,Unspecified,,,,,,,,S77250050,,,,,"In the north basin with scaup and ruddies. Pretty unusual.",,,,"Aythya americana",redhea,Species,576.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/286491451","https://ebird.org/view/checklist/S77250050","https://ebird.org/species/redhea",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",redhea
283898081,Photo,"Elanus leucurus","White-tailed Kite",,"Jack Hayden",11/29/2020,2020,11,29,1027,"United States",US-CA-013,California,"Contra Costa","Dotson Family Marsh",37.9819,-122.3623,,,,Unspecified,,,,,,,,S76870786,,,,,,,,,"Elanus leucurus",whtkit,Species,7367.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/283898081","https://ebird.org/view/checklist/S76870786","https://ebird.org/species/whtkit",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whtkit
273621501,Photo,"Vireo huttoni","Hutton's Vireo",,"Jack Hayden",10/22/2020,2020,10,22,1227,"United States",US-CA-001,California,Alameda,"Creekside Park (ALA Co.)",37.8981,-122.3047,,,,Unspecified,,,,,,,,S75226943,,,,,,,,,"Vireo huttoni",hutvir,Species,18358.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/273621501","https://ebird.org/view/checklist/S75226943","https://ebird.org/species/hutvir",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",hutvir
272792851,Photo,"Dryobates pubescens","Downy Woodpecker",,"Jack Hayden",10/19/2020,2020,10,19,1458,"United States",US-CA-001,California,Alameda,"Creekside Park (ALA Co.)",37.8981,-122.3047,,,,Unspecified,,,,,,,,S75116567,,,,,,,,,"Dryobates pubescens",dowwoo,Species,10805.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/272792851","https://ebird.org/view/checklist/S75116567","https://ebird.org/species/dowwoo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",dowwoo
270626341,Photo,"Butorides virescens","Green Heron",,"Jack Hayden",10/9/2020,2020,10,9,831,"United States",US-CA-001,California,Alameda,"Berkeley Aquatic Park",37.8558,-122.2977,,,,Unspecified,,,,,,,,S74607337,,,,,,,,,"Butorides virescens",grnher,Species,7183.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/270626341","https://ebird.org/view/checklist/S74607337","https://ebird.org/species/grnher",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",grnher
270142021,Photo,"Empidonax hammondii","Hammond's Flycatcher",,"Jack Hayden",10/11/2020,2020,10,11,1014,"United States",US-CA-013,California,"Contra Costa","Miller/Knox Regional Shoreline",37.9162,-122.3866,,,,Unspecified,,,,,,,,S74703826,,,,,"Rare for this date and location. Empid with gray-olive head, mantle and back, grey cheeks, light gray throat, grayish green chest and belly, whitish vent. Narrow short bill, black on top, black tipped fading to dull orange on bottom. Medium primary projection. Two prominent white wing bars. Blocky head shape. White eye ring with tear shape to the rear of the eye. Silent. Feeding and perching low, landing on the ground several times. Seen not far from where the Palm Warbler was seen (scrub area south of the playground area). 37.912754, -122.386627 Please see photos.",,,,"Empidonax hammondii",hamfly,Species,16191.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/270142021","https://ebird.org/view/checklist/S74703826","https://ebird.org/species/hamfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",hamfly
266556851,Photo,"Accipiter cooperii","Cooper's Hawk",,"Jack Hayden",9/28/2020,2020,9,28,815,"United States",US-CA-001,California,Alameda,"Creekside Park (ALA Co.)",37.8981,-122.3047,,,,Unspecified,,,,,,,,S74172783,,,,,,,,,"Accipiter cooperii",coohaw,Species,7829.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/266556851","https://ebird.org/view/checklist/S74172783","https://ebird.org/species/coohaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",coohaw
265189261,Photo,"Buteo lineatus","Red-shouldered Hawk",,"Jack Hayden",9/23/2020,2020,9,23,820,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Albany access",37.8903,-122.3148,,,,Unspecified,,,,,,,,S73965375,,,,,,,,,"Buteo lineatus",reshaw,Species,7984.0,,,4.0,1,committed,,,,,"https://macaulaylibrary.org/asset/265189261","https://ebird.org/view/checklist/S73965375","https://ebird.org/species/reshaw",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",reshaw
