"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
93937411,Photo,"Ammodramus savannarum","Grasshopper Sparrow",,"Jerry Ting",4/10/2018,2018,4,10,1427,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park--May Rd. entrance",37.6082,-122.0175,,Unknown,,Unspecified,,,,,,,,S44451495,,,,,,,,,"Ammodramus savannarum",graspa,Species,31686.0,,,4.91743119266055,109,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/93937411","https://ebird.org/view/checklist/S44451495","https://ebird.org/species/graspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",graspa
93937421,Photo,"Ammodramus savannarum","Grasshopper Sparrow",,"Jerry Ting",4/10/2018,2018,4,10,1427,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park--May Rd. entrance",37.6082,-122.0175,,Unknown,,Unspecified,,,,,,,,S44451495,,,,,,,,,"Ammodramus savannarum",graspa,Species,31686.0,,,4.925925925925926,54,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/93937421","https://ebird.org/view/checklist/S44451495","https://ebird.org/species/graspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",graspa
179748191,Photo,"Leiothlypis celata","Orange-crowned Warbler",,"Jerry Ting",9/29/2019,2019,9,29,937,"United States",US-CA-041,California,Marin,"Pt. Reyes--Fish Docks",37.9956,-122.9782,,Unknown,,Unspecified,,,,,,,,S60238775,,,,,,,,,"Leiothlypis celata",orcwar,Species,32693.0,,,4.956521739130435,46,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/179748191","https://ebird.org/view/checklist/S60238775","https://ebird.org/species/orcwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",orcwar
218137451,Photo,"Icterus cucullatus","Hooded Oriole",,"Jerry Ting",3/25/2020,2020,3,25,1428,"United States",US-CA-001,California,Alameda,"Sabercat Creek Trail",37.5247,-121.9223,,Unknown,,Unspecified,,,,,,,,S66224165,,,,,,,,,"Icterus cucullatus",hooori,Species,32408.0,,,4.882352941176471,51,committed,,"https://ebird.org/profile/Mjk3Nzc0",1438,2021,"https://macaulaylibrary.org/asset/218137451","https://ebird.org/view/checklist/S66224165","https://ebird.org/species/hooori",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",hooori
45867591,Photo,"Tyrannus forficatus","Scissor-tailed Flycatcher",,"Jerry Ting",12/1/2014,2014,12,1,1150,"United States",US-CA-081,California,"San Mateo","Miramontes Point",37.4338,-122.4425,,Unknown,,Unspecified,,,,,,,,S33767524,,,,,,,,,"Tyrannus forficatus",sctfly,Species,16707.0,,,4.9411764705882355,34,committed,,"https://ebird.org/profile/Mjk3Nzc0",1150,1600,"https://macaulaylibrary.org/asset/45867591","https://ebird.org/view/checklist/S33767524","https://ebird.org/species/sctfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",sctfly
93937471,Photo,"Troglodytes aedon","House Wren",,"Jerry Ting",4/10/2018,2018,4,10,1427,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park--May Rd. entrance",37.6082,-122.0175,,Unknown,,Unspecified,,,,,,,,S44451495,,,,,,,,,"Troglodytes aedon",houwre,Species,26127.0,,,4.795918367346939,49,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/93937471","https://ebird.org/view/checklist/S44451495","https://ebird.org/species/houwre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",houwre
93937481,Photo,"Sialia mexicana","Western Bluebird",,"Jerry Ting",4/10/2018,2018,4,10,1427,"United States",US-CA-001,California,Alameda,"Garin/Dry Creek Pioneer Regional Park--May Rd. entrance",37.6082,-122.0175,,Unknown,,Unspecified,,,,,,,,S44451495,,,,,,,,,"Sialia mexicana",wesblu,Species,27041.0,,,4.75,32,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/93937481","https://ebird.org/view/checklist/S44451495","https://ebird.org/species/wesblu",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wesblu
254633931,Photo,"Elanus leucurus","White-tailed Kite",,"Jerry Ting",8/9/2020,2020,8,9,828,"United States",US-CA-001,California,Alameda,"Pacific Commons Linear Park",37.4951,-121.9796,,,,Unspecified,,,,,,,,S72254361,,,,,,,,,"Elanus leucurus",whtkit,Species,7367.0,,,4.894736842105263,19,committed,,"https://ebird.org/profile/Mjk3Nzc0",1925,2556,"https://macaulaylibrary.org/asset/254633931","https://ebird.org/view/checklist/S72254361","https://ebird.org/species/whtkit",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whtkit
98307051,Photo,"Geococcyx californianus","Greater Roadrunner",,"Jerry Ting",5/5/2018,2018,5,5,750,"United States",US-CA-001,California,Alameda,"Mines Rd. (ALA Co.)",37.5534,-121.5735,,Unknown,,Unspecified,,,,,,,,S45311936,,,,,mm6.28,,,,"Geococcyx californianus",greroa,Species,2945.0,,,4.655172413793103,29,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/98307051","https://ebird.org/view/checklist/S45311936","https://ebird.org/species/greroa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",greroa
250174281,Photo,"Calidris pusilla","Semipalmated Sandpiper",,"Jerry Ting",7/18/2020,2020,7,18,840,"United States",US-CA-001,California,Alameda,"Coyote Hills Regional Park",37.5538,-122.0875,,Unknown,,Unspecified,,,,,,,,S71610105,,,,,"Seen in pond feeding on brine flies just north of the pump station on No Name Trail loosely associated with Western and Least Sandpipers.  A molting adult that is still in partial breeding plumage with washed rufous on crown, ear coverts scapulars and tertials.  Straight, short bill with thick base.  Dark ear coverts and lore.  Streaked breast and few speckles on flanks.  Photos.",,,,"Calidris pusilla",semsan,Species,5900.0,,,5.0,14,committed,,"https://ebird.org/profile/Mjk3Nzc0",1428,1900,"https://macaulaylibrary.org/asset/250174281","https://ebird.org/view/checklist/S71610105","https://ebird.org/species/semsan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",semsan
280863411,Photo,"Athene cunicularia","Burrowing Owl",,"Jerry Ting",11/18/2020,2020,11,18,1544,"United States",US-CA-001,California,Alameda,"Hayward Regional Shoreline--Winton Ave. access and parking area",37.6466,-122.1467,,Unknown,,Unspecified,,,,,,,,S76375615,,,,,,,,,"Athene cunicularia",burowl,Species,8607.0,,,4.933333333333334,15,committed,,"https://ebird.org/profile/Mjk3Nzc0",1364,1820,"https://macaulaylibrary.org/asset/280863411","https://ebird.org/view/checklist/S76375615","https://ebird.org/species/burowl",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",burowl
43490021,Photo,"Bucephala clangula","Common Goldeneye",,"Jerry Ting",12/25/2016,2016,12,25,835,"United States",US-CA-001,California,Alameda,"Coyote Hills Regional Park",37.5538,-122.0875,,Unknown,,Unspecified,,,,,,,,S33194326,,,,,,,,,"Bucephala clangula",comgol,Species,642.0,,,4.54054054054054,37,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/43490021","https://ebird.org/view/checklist/S33194326","https://ebird.org/species/comgol",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",comgol
185899761,Photo,"Calidris ptilocnemis","Rock Sandpiper",,"Jerry Ting",11/3/2019,2019,11,3,1345,"United States",US-CA-075,California,"San Francisco","Heron's Head Park",37.7381,-122.3725,,Unknown,,Unspecified,,,,,,,,S61162875,,,,,"Continuing bird found by Terea Ely and Ben Dudek on 11/02.  Seen at the end of point.  Photos.",,,,"Calidris ptilocnemis",rocsan,Species,5880.0,,,4.64,25,committed,,"https://ebird.org/profile/Mjk3Nzc0",1179,1688,"https://macaulaylibrary.org/asset/185899761","https://ebird.org/view/checklist/S61162875","https://ebird.org/species/rocsan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",rocsan
59390691,Photo,"Aphelocoma californica","California Scrub-Jay",,"Jerry Ting",5/26/2017,2017,5,26,1010,"United States",US-CA-001,California,Alameda,"Claremont Canyon Regional Preserve",37.8661,-122.2396,,Unknown,,Unspecified,,,,,,,,S37166046,,,,,,,,,"Aphelocoma californica",cowscj1,Species,20382.0,,,4.7,20,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/59390691","https://ebird.org/view/checklist/S37166046","https://ebird.org/species/cowscj1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",cowscj1
90388851,Photo,"Podiceps nigricollis","Eared Grebe",,"Jerry Ting",3/18/2018,2018,3,18,1152,"United States",US-CA-001,California,Alameda,"San Leandro Marina",37.6952,-122.1906,,Unknown,,Unspecified,,,,,,,,S43759791,,,,,,,,,"Podiceps nigricollis",eargre,Species,1777.0,,,4.928571428571429,14,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/90388851","https://ebird.org/view/checklist/S43759791","https://ebird.org/species/eargre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",eargre
181480061,Photo,"Passerculus sandwichensis","Savannah Sparrow",,"Jerry Ting",10/10/2019,2019,10,10,1325,"United States",US-CA-001,California,Alameda,"Coyote Hills Regional Park",37.5538,-122.0875,,Unknown,,Unspecified,,,,,,,,S60517203,,,,,,,,,"Passerculus sandwichensis",savspa,Species,31986.0,,,4.722222222222222,18,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/181480061","https://ebird.org/view/checklist/S60517203","https://ebird.org/species/savspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",savspa
45942001,Photo,"Amaurornis phoenicurus","White-breasted Waterhen",,"Jerry Ting",1/5/2015,2015,1,5,1521,Taiwan,TW-TPE,"Taipei City",,"台北--國立臺灣大學實驗農場(Taipei--NTU Experimental Farm)",25.0156,121.5402,,Unknown,,Unspecified,,,,,,,,S33784128,,,,,,,,,"Amaurornis phoenicurus",whbwat1,Species,5357.0,,,4.65,20,committed,,"https://ebird.org/profile/Mjk3Nzc0",850,1200,"https://macaulaylibrary.org/asset/45942001","https://ebird.org/view/checklist/S33784128","https://ebird.org/species/whbwat1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",whbwat1
169335151,Photo,"Calidris mauri","Western Sandpiper",,"Jerry Ting",7/22/2019,2019,7,22,1710,"United States",US-CA-001,California,Alameda,"Hayward Regional Shoreline",37.6419,-122.1517,,"Adult Male",,Unspecified,,,,,,,,S58387328,,,,"very rufous adult (probably a male with that short bill)",,,,,"Calidris mauri",wessan,Species,5860.0,,,4.631578947368421,19,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/169335151","https://ebird.org/view/checklist/S58387328","https://ebird.org/species/wessan",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wessan
108987951,Photo,"Patagioenas fasciata","Band-tailed Pigeon",,"Jerry Ting",7/28/2018,2018,7,28,800,"United States",US-CA-001,California,Alameda,"Alameda Creek--Niles Staging Area",37.5797,-121.9656,,Unknown,,Unspecified,,,,,,,,S47498687,,,,,,,,,"Patagioenas fasciata",batpig1,Species,1910.0,,,4.785714285714286,14,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/108987951","https://ebird.org/view/checklist/S47498687","https://ebird.org/species/batpig1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",batpig1
64184171,Photo,"Archilochus alexandri","Black-chinned Hummingbird",,"Jerry Ting",6/25/2015,2015,6,25,1440,"United States",US-CA-001,California,Alameda,"Ardenwood Farm",37.5546,-122.0545,,Unknown,,Unspecified,,,,,,,,S24053969,,,,,"continuing adult male",,,,"Archilochus alexandri",bkchum,Species,4653.0,,,4.611111111111111,18,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/64184171","https://ebird.org/view/checklist/S24053969","https://ebird.org/species/bkchum",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bkchum
89460561,Photo,"Milvus migrans","Black Kite",,"Jerry Ting",2/14/2018,2018,2,14,720,Taiwan,TW-TPQ,"New Taipei City",,"台北--陽光運動公園(Taipei--Yangguang Sports Park)",24.977,121.5203,,Unknown,,Unspecified,,,,,,,,S42739404,,,,,,,,,"Milvus migrans",blakit1,Species,7867.0,,,4.769230769230769,13,committed,,"https://ebird.org/profile/Mjk3Nzc0",1100,1600,"https://macaulaylibrary.org/asset/89460561","https://ebird.org/view/checklist/S42739404","https://ebird.org/species/blakit1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",blakit1
151142361,Photo,"Recurvirostra americana","American Avocet",,"Jerry Ting",4/14/2019,2019,4,14,1155,"United States",US-CA-001,California,Alameda,"MLK Jr. Regional Shoreline--Arrowhead Marsh",37.7422,-122.2112,,Unknown,,Unspecified,,,,,,,,S54958378,,,,,,,,,"Recurvirostra americana",ameavo,Species,5587.0,,,4.833333333333333,12,committed,,"https://ebird.org/profile/Mjk3Nzc0",,,"https://macaulaylibrary.org/asset/151142361","https://ebird.org/view/checklist/S54958378","https://ebird.org/species/ameavo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",ameavo
45874551,Photo,"Apus nipalensis","House Swift",,"Jerry Ting",12/29/2014,2014,12,29,955,Taiwan,TW-ILA,"Yilan County",,"宜蘭竹安IBA--塭底(Zhu'an IBA--Wendi)",24.8037,121.8018,,Unknown,,Unspecified,,,,,,,,S33769659,,,,,,,,,"Apus nipalensis",houswi1,Species,4018.0,,,4.909090909090909,11,committed,,"https://ebird.org/profile/Mjk3Nzc0",850,1200,"https://macaulaylibrary.org/asset/45874551","https://ebird.org/view/checklist/S33769659","https://ebird.org/species/houswi1",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",houswi1
