Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,2,species,Common Ostrich,Struthio camelus,5,"(-19.3152,15.9412)",NA-OT,29-Aug-19,L9859101,S59399401,,1
2,22,species,Tawny-breasted Tinamou,Nothocercus julius,1,Wayqecha Cloud Forest Biological Station--Canopy Trail,PE-CUS,18-Sep-16,L4722534,S31762273,,1
3,23,species,Highland Tinamou,Nothocercus bonapartei,,"Finca Alejandría ""El Paraiso de Los Colibries""",CO-VAC,25-Feb-13,L2057859,S25337358,,1
4,42,species,Great Tinamou,Tinamus major,,Panama Rainforest Discovery Center,PA-3,9-Aug-09,L454707,S64635263,,1
5,57,species,Cinereous Tinamou,Crypturellus cinereus,1,Reserva Arena Blanca,PE-SAM,21-Apr-15,L3637689,S23350015,,1
6,59,species,Little Tinamou,Crypturellus soui,,Panama Rainforest Discovery Center,PA-3,10-Aug-09,L454707,S59914015,,1
7,75,species,Brown Tinamou,Crypturellus obsoletus,1,Cock-of-the-Rock Lodge & Manu Paradise Lodge,PE-CUS,11-Sep-16,L599445,S31762249,,1
8,127,species,Bartlett's Tinamou,Crypturellus bartletti,1,Amazonía Lodge,PE-MDD,14-Sep-16,L1004838,S69634671,,1
9,152,species,Andean Tinamou,Nothoprocta pentlandii,1,RN Lomas de Lachay--Camino de Acceso,PE-LIM,9-Sep-16,L3810568,S31504691,,1
10,220,species,Horned Screamer,Anhima cornuta,1,"Vía Mediacanoa - Buga, Buga CO-Valle del Cauca 3.89227, -76.34115",CO-VAC,3-Sep-22,L20762607,S118046519,,1
11,228,species,White-faced Whistling-Duck,Dendrocygna viduata,70,Mahango Game Reserve,NA-OK,3-Sep-19,L1070081,S59530567,,1
12,230,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,10,Playa Conchal,CR-G,6-Jan-07,L1130394,S60909843,,1
13,235,species,Fulvous Whistling-Duck,Dendrocygna bicolor,6,Stormwater Treatment Area 5/6,US-FL,30-Jan-16,L207305,S27233185,,1
14,252,species,Snow Goose,Anser caerulescens,2,Hayward Regional Shoreline--Mt. Trashmore,US-CA,26-Dec-16,L1024893,S33221815,,1
15,256,species,Ross's Goose,Anser rossii,2,"Bayfront Park, Hamilton CA-ON 43.26858, -79.86948",CA-ON,5-Nov-20,L12664545,S75856747,,1
17,267,species,Greater White-fronted Goose,Anser albifrons,1,North River Road-Pond,US-FL,6-Dec-17,L5267411,S40945149,,1
19,291,species,Brant,Branta bernicla,1,San Carlos Bay/Bunche Beach Preserve,US-FL,31-Dec-16,L301036,S33319595,,1
20,308,species,Cackling Goose,Branta hutchinsii,1,"Bridgeview Park, Foster City",US-CA,24-Dec-16,L3269799,S33184653,,1
21,319,species,Canada Goose,Branta canadensis,4,Magee Marsh--Boardwalk,US-OH,2-May-14,L275986,S18227660,,1
22,353,species,Mute Swan,Cygnus olor,4,Tommy Thompson Park,CA-ON,6-Feb-16,L351715,S27342003,N,1
25,358,species,Trumpeter Swan,Cygnus buccinator,12,Tommy Thompson Park,CA-ON,6-Feb-16,L351715,S27342003,,1
26,360,species,Tundra Swan,Cygnus columbianus,,Red Rock Lakes NWR--Upper,US-MT,15-Aug-06,L211505,S60824350,,1
27,373,species,Comb Duck,Sarkidiornis sylvicola,3,Cruz Conga,PE-CAJ,14-Jan-14,L2668521,S17279534,,1
28,376,species,Andean Goose,Oressochen melanopterus,8,Valle de Santa Eulalia--Superior,PE-LIM,18-Jan-14,L957536,S69573534,,1
29,391,species,Egyptian Goose,Alopochen aegyptiaca,2,"Graceland Vyds, Stellenbosch ZA-WC (-33.9937,18.8342)",ZA-WC,22-Aug-19,L9830956,S59214645,,1
30,396,species,South African Shelduck,Tadorna cana,2,Etosha NP--Okevi Loop,NA-OT,1-Sep-19,L8228069,S59421162,,1
31,402,species,Spur-winged Goose,Plectropterus gambensis,1,Mahangu River Lodge,NA-OK,3-Sep-19,L5844769,S59579900,,1
32,411,species,Crested Duck,Lophonetta specularioides,2,Hwy 116 to Milog Bog,PE-LIM,23-Sep-16,L5050529,S31736643,,1
33,415,species,Muscovy Duck,Cairina moschata,8,Reserva Privada Rogitama,CO-SAN,24-Aug-12,L2234008,S25307288,,1
34,421,species,African Pygmy-Goose,Nettapus auritus,1,Okavango Delta--Drotsky's Camp,BW-NW,4-Sep-19,L1153820,S59530151,,1
35,423,species,Wood Duck,Aix sponsa,2,Six Mile Cypress Slough Preserve,US-FL,5-Mar-16,L424819,S27984468,,1
36,435,species,Torrent Duck,Merganetta armata,2,Papallacta--La Virgen y alrededores inmediatos (Pass and immediate vicinity),EC-N,14-Jul-10,L1491931,S25288362,,1
37,445,species,Blue-billed Teal,Spatula hottentota,1,Strandfontein WTP,ZA-WC,23-Aug-19,L920374,S59695978,,1
38,449,species,Puna Teal,Spatula puna,4,Laguna Huasao,PE-CUS,10-Sep-16,L4193597,S32532490,,1
39,450,species,Blue-winged Teal,Spatula discors,150,Embalse Cameguadua,CO-CAL,17-Feb-13,L3786045,S60891037,,1
40,451,species,Cinnamon Teal,Spatula cyanoptera,10,Embalse Cameguadua,CO-CAL,17-Feb-13,L3786045,S60891037,,1
41,460,species,Cape Shoveler,Spatula smithii,20,Strandfontein WTP,ZA-WC,23-Aug-19,L920374,S59695978,,1
42,464,species,Northern Shoveler,Spatula clypeata,2,Ottawa NWR (Ottawa Co.),US-OH,2-May-14,L2822360,S18227569,,1
43,468,species,Gadwall,Mareca strepera,12,Las Gallinas Valley Sanitary District,US-CA,29-May-15,L207664,S23725685,,1
44,475,species,Eurasian Wigeon,Mareca penelope,1,Nob Hill Pond,US-CA,10-Dec-20,L420537,S77320630,,1
45,477,species,American Wigeon,Mareca americana,20,Las Gallinas Valley Sanitary District,US-CA,25-Sep-15,L207664,S25204716,,1
46,490,species,Yellow-billed Duck,Anas undulata,1,"Graceland Vyds, Stellenbosch ZA-WC (-33.9937,18.8342)",ZA-WC,22-Aug-19,L9830956,S59214645,,1
47,505,species,Mallard,Anas platyrhynchos,10,Las Gallinas Valley Sanitary District,US-CA,29-May-15,L207664,S23725685,,1
48,524,species,Mexican Duck,Anas diazi,1,Palo Duro Creek Golf Course Ponds,US-AZ,30-Aug-21,L303389,S94479270,,1
49,527,species,American Black Duck,Anas rubripes,4,Tommy Thompson Park,CA-ON,24-Jan-16,L351715,S27099982,,1
