ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
26075171,Photo,American Flamingo,Phoenicopterus ruber,,Peter Hawrylyshyn,3/23/2016,2016,3,23,930,United States,US-FL-071,Florida,Lee,San Carlos Bay/Bunche Beach Preserve,26.476174,-81.9673795,Adult,,Unspecified,,,,,,,,,S28508970,,,,Flamingo taking flight,at outer sand bank at west end of beach,Phoenicopterus ruber,grefla2,Species,,,4.94,100,,3222,4296
274059171,Photo,Hermit Thrush,Catharus guttatus,,Peter Hawrylyshyn,10/24/2020,2020,10,24,928,Canada,CA-ON-YO,Ontario,York,Holland Landing Sewage Lagoons,44.1180324,-79.4809341,Adult – 1,,Unspecified,,,,,,,,,S75334968,,,,,,Catharus guttatus,herthr,Species,,,4.98,66,,1281,1922
300986361,Photo,Surf Scoter,Melanitta perspicillata,,Peter Hawrylyshyn,1/23/2021,2021,1,23,905,United States,US-CA-085,California,Santa Clara,Shoreline Park,37.434775,-122.095329,Adult Male – 1,,Unspecified,,,,,,,,,S79776832,,,,eating clam,,Melanitta perspicillata,sursco,Species,,,4.88,123,,2461,3689
193076381,Photo,Wire-crested Thorntail,Discosura popelairii,,Peter Hawrylyshyn,9/30/2014,2014,9,30,900,Ecuador,EC-Z,Zamora-Chinchipe,,Copalinga Lodge,-4.0908511,-78.9582663,Adult Male – 1,,Unspecified,,,,,,,,,S62263771,,,,,at verbena bushes,Discosura popelairii,wictho2,Species,,,4.97,62,,2041,3061
248879141,Photo,White-throated Sparrow,Zonotrichia albicollis,,Peter Hawrylyshyn,7/11/2020,2020,7,11,930,Canada,CA-ON-YO,Ontario,York,York Region Forest--North Tract,44.0882478,-79.3320394,Adult – 1,,Unspecified,,,,,,,,,S71368838,,,,,,Zonotrichia albicollis,whtspa,Species,,,4.92,75,,2162,3243
484480801,Photo,Saffron-crowned Tanager,Tangara xanthocephala,,Peter Hawrylyshyn,9/1/2022,2022,9,1,736,Colombia,CO-VAC,Valle del Cauca,,RNSC San Felipe,3.5185803,-76.6184478,Adult – 1,,Unspecified,,,,,,,,,S117933913,,,,,,Tangara xanthocephala,sactan1,Species,,,4.98,55,,2114,3170
63699441,Photo,Reddish Egret,Egretta rufescens,,Peter Hawrylyshyn,3/10/2015,2015,3,10,800,United States,US-FL-071,Florida,Lee,San Carlos Bay/Bunche Beach Preserve,26.476174,-81.9673795,Adult,,Unspecified,,,,,,,,,S22298953,,,,Wings spread in breeding plumage,,Egretta rufescens,redegr,Species,,,4.95,61,,3595,4494
239207461,Photo,Golden-collared Tanager,Iridosornis jelskii,,Peter Hawrylyshyn,9/18/2016,2016,9,18,617,Peru,PE-CUS,Cuzco [Cusco],,ACP Pillco Grande--Carretera a Tres Cruces,-13.1569983,-71.6335483,Adult Male – 1,,Unspecified,,,,,,,,,S31762278,,,,,,Iridosornis jelskii,goctan3,Species,,,4.89,80,Habitat,1480,2221
165116061,Photo,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,,Peter Hawrylyshyn,6/10/2019,2019,6,10,800,United States,US-CA-063,California,Plumas,Sierra Valley--Harriet Ln. (PLU Co.),39.7283134,-120.3056145,Adult Male,,Unspecified,,,,,,,,,S57272539,,,,,,Xanthocephalus xanthocephalus,yehbla,Species,,,4.88,78,,3009,4513
184401651,Photo,Neblina Metaltail,Metallura odomae,,Peter Hawrylyshyn,4/24/2015,2015,4,24,800,Ecuador,EC-Z,Zamora-Chinchipe,,Yacuri NP near treeline,-4.7732222,-79.4105833,Adult Male – 1,,Unspecified,,,,,,,,,S23350797,,,,,"<a href=""https://www.flickr.com/photos/pahyyz/17437553095"" title=""Neblina Metaltail_7D_9729 by peter hawrylyshyn, on Flickr""><img src=""https://c2.staticflickr.com/8/7677/17437553095_530d441781_z.jpg"" alt=""Neblina Metaltail_7D_9729"" /></a>",Metallura odomae,nebmet1,Species,,,4.98,46,,,
213434221,Photo,White-throated Mountain-gem,Lampornis castaneoventris,,Peter Hawrylyshyn,2/26/2020,2020,2,26,1016,Panama,PA-4,Chiriquí,,Cerro Punta* general area (pls. use more precise loc.),8.852224,-82.573638,Adult Male – 1,,Unspecified,,,,,,,,,S65225170,,,,,,Lampornis castaneoventris,wtmgem1,Species,,,5,42,,2668,4002
177024991,Photo,Gray Go-away-bird,Corythaixoides concolor,,Peter Hawrylyshyn,9/1/2019,2019,9,1,1500,Namibia,NA-OT,Oshikoto,,Mokuti Lodge,-18.8136522,17.0517039,,,Unspecified,,,,,,,,,S59435182,,,,,,Corythaixoides concolor,grygab1,Species,,,4.91,53,,3606,5409
238206401,Photo,Horned Grebe,Podiceps auritus,,Peter Hawrylyshyn,6/22/2015,2015,6,22,1655,Canada,CA-BC-TN,British Columbia,Thompson-Nicola,Greenstone Mountain Rd. lake 1,50.651887,-120.569112,Adult – 1,,Unspecified,,,,,,,,,S24128246,,,,,,Podiceps auritus,horgre,Species,,,5,38,,2234,3351
243062981,Photo,Roseate Spoonbill,Platalea ajaja,,Peter Hawrylyshyn,3/7/2015,2015,3,7,700,United States,US-FL-057,Florida,Hillsborough,sunken island - alafia banks,27.8479582,-82.4150562,Adult – 1,Foraging or Eating,Unspecified,,,,,,,,,S22298700,,,,,,Platalea ajaja,rosspo1,Species,,,4.92,49,,2550,3300
81601301,Photo,Red-shouldered Hawk,Buteo lineatus,,Peter Hawrylyshyn,1/12/2018,2018,1,12,720,United States,US-FL-071,Florida,Lee,Six Mile Cypress Slough Preserve,26.5716209,-81.8258929,Adult,,Unspecified,,,,,,,,,S41840048,,,,,,Buteo lineatus,reshaw,Species,,,4.83,72,,3051,3051
245593771,Photo,Gray Catbird,Dumetella carolinensis,,Peter Hawrylyshyn,6/25/2020,2020,6,25,800,Canada,CA-ON-YO,Ontario,York,BHGC -  Aurora,43.9820085,-79.4501116,Adult – 1,,Unspecified,,,,,,,,,S70812286,,,,,,Dumetella carolinensis,grycat,Species,,,4.86,51,,3263,4895
64775311,Photo,Golden-headed Quetzal,Pharomachrus auriceps,,Peter Hawrylyshyn,2/26/2013,2013,2,26,700,Colombia,CO-VAC,Valle del Cauca,,"Finca Alejandría ""El Paraiso de Los Colibries""",3.5387949,-76.6062042,Adult Male,,Unspecified,,,,,,,,,S25337381,,,,Front view - perched,,Pharomachrus auriceps,gohque1,Species,,,4.89,46,,960,720
238194471,Photo,Marsh Wren,Cistothorus palustris,,Peter Hawrylyshyn,6/21/2015,2015,6,21,500,Canada,CA-BC-TN,British Columbia,Thompson-Nicola,Lac Le Jeune Provincial Park,50.48513,-120.48347,Adult – 1,Vocalizing,Unspecified,,,,,,,,,S24128254,,,,,,Cistothorus palustris,marwre,Species,,,4.84,56,,2025,3038
238195521,Photo,Common Loon,Gavia immer,,Peter Hawrylyshyn,6/21/2015,2015,6,21,500,Canada,CA-BC-TN,British Columbia,Thompson-Nicola,Lac Le Jeune Provincial Park,50.48513,-120.48347,Adult – 1; Juvenile – 1,,Unspecified,,,,,,,,,S24128254,,,,,,Gavia immer,comloo,Species,,,4.77,81,,,
485225591,Photo,Southern Emerald-Toucanet,Aulacorhynchus albivitta,,Peter Hawrylyshyn,9/6/2022,2022,9,6,851,Colombia,CO-CAL,Caldas,,"El Color de Mis Reves, Villamaría CO-Caldas",4.98901,-75.407492,Adult – 1,Vocalizing,Unspecified,,,,,,,,,S118252513,,,,,,Aulacorhynchus albivitta,souemt1,Species,,,4.84,49,,2496,3744
267086821,Photo,Winter Wren,Troglodytes hiemalis,,Peter Hawrylyshyn,9/30/2020,2020,9,30,841,Canada,CA-ON-YO,Ontario,York,"Cold Creek Conservation Area, King CA-ON 43.91446, -79.69885",43.914459,-79.698845,Adult – 1,,Unspecified,,,,,,,,,S74241946,,,,,,Troglodytes hiemalis,winwre3,Species,,,4.81,57,,1640,2459
244754181,Photo,Cedar Waxwing,Bombycilla cedrorum,,Peter Hawrylyshyn,6/21/2020,2020,6,21,700,Canada,CA-ON-YO,Ontario,York,York Regional Forest--Bendor & Graves Tract (east entrance),44.10087,-79.338524,Adult – 1,,Unspecified,,,,,,,,,S70670998,,,,,,Bombycilla cedrorum,cedwax,Species,,,4.89,38,,1811,2717
238195511,Photo,Common Loon,Gavia immer,,Peter Hawrylyshyn,6/21/2015,2015,6,21,500,Canada,CA-BC-TN,British Columbia,Thompson-Nicola,Lac Le Jeune Provincial Park,50.48513,-120.48347,Adult – 1; Juvenile – 1,,Unspecified,,,,,,,,,S24128254,,,,,,Gavia immer,comloo,Species,,,4.79,52,,2909,4363
57334901,Photo,Marvelous Spatuletail,Loddigesia mirabilis,,Peter Hawrylyshyn,1/10/2014,2014,1,10,730,Peru,PE-AMA,Amazonas,,Reserva Huembo,-5.8576587,-77.9847295,Male,,Unspecified,,,,,,,,,S17279529,,,,,,Loddigesia mirabilis,marspa1,Species,,,4.83,46,,999,999
238194861,Photo,Common Yellowthroat,Geothlypis trichas,,Peter Hawrylyshyn,6/21/2015,2015,6,21,500,Canada,CA-BC-TN,British Columbia,Thompson-Nicola,Lac Le Jeune Provincial Park,50.48513,-120.48347,Adult – 1,,Unspecified,,,,,,,,,S24128254,,,,,,Geothlypis trichas,comyel,Species,,,4.83,46,,2854,4281
260870141,Photo,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),,Peter Hawrylyshyn,9/7/2020,2020,9,7,905,Canada,CA-ON-YO,Ontario,York,Holland Landing Sewage Lagoons,44.1180324,-79.4809341,,,Unspecified,,,,,,,,,S73305958,,,,,along  Old Yonge Street -- bathing in puddle,Columba livia,rocpig1,Domestic,,,4.78,51,,1569,2354
502305491,Photo,White-breasted Nuthatch (Pacific),Sitta carolinensis aculeata/alexandrae,,Peter Hawrylyshyn,11/6/2022,2022,11,6,1000,United States,US-CA-085,California,Santa Clara,Manresa Los Altos,37.3715683,-122.1191955,Adult – 1,,Unspecified,,,,,,,,,S122043837,,,,,,Sitta carolinensis,whbnut4,Group,,,4.75,56,,1935,2902
244384561,Photo,Grasshopper Sparrow,Ammodramus savannarum,,Peter Hawrylyshyn,6/19/2020,2020,6,19,715,Canada,CA-ON-YO,Ontario,York,York Regional Forest--Bendor & Graves Tract (east entrance),44.10087,-79.338524,Adult – 1,Vocalizing,Unspecified,,,,,,,,,S70606991,,,,,,Ammodramus savannarum,graspa,Species,31855,,4.83,42,,2550,3300
376839461,Photo,Lincoln's Sparrow,Melospiza lincolnii,,Peter Hawrylyshyn,10/10/2021,2021,10,10,858,Canada,CA-ON-YO,Ontario,York,Holland Landing Sewage Lagoons,44.1180324,-79.4809341,Adult – 1,,Unspecified,,,,,,,,,S95916648,,,,,Sulking in thicket/bushes in SW corner,Melospiza lincolnii,linspa,Species,,,4.86,36,,1552,2325
239223231,Photo,Parodi's Hemispingus,Kleinothraupis parodii,,Peter Hawrylyshyn,9/21/2016,2016,9,21,1230,Peru,PE-CUS,Cuzco [Cusco],,ACP Abra Málaga (Valqui B2),-13.1150667,-72.3490667,Adult – 1,,Unspecified,,,,,,,,,S31762267,,,,,,Kleinothraupis parodii,parhem1,Species,,,4.9,31,,1530,2296
213437171,Photo,Scintillant Hummingbird,Selasphorus scintilla,,Peter Hawrylyshyn,2/26/2020,2020,2,26,1016,Panama,PA-4,Chiriquí,,Cerro Punta* general area (pls. use more precise loc.),8.852224,-82.573638,Adult Female – 1,,Unspecified,,,,,,,,,S65225170,,,,Note rufous flanks and belly,,Selasphorus scintilla,scihum1,Species,,,4.96,27,,1897,2845
57334921,Photo,Marvelous Spatuletail,Loddigesia mirabilis,,Peter Hawrylyshyn,1/10/2014,2014,1,10,730,Peru,PE-AMA,Amazonas,,Reserva Huembo,-5.8576587,-77.9847295,Adult Male,,Unspecified,,,,,,,,,S17279529,,,,,,Loddigesia mirabilis,marspa1,Species,,,4.78,49,,4200,5400
322934871,Photo,Least Grebe,Tachybaptus dominicus,,Peter Hawrylyshyn,4/4/2021,2021,4,4,1050,United States,US-FL-086,Florida,Miami-Dade,Crandon Park,25.7089712,-80.1536322,Adult – 1,,Unspecified,,,,,,,,,S84757443,,,,wing stretch,Continuing bird on long east pond near picnic shelter,Tachybaptus dominicus,leagre,Species,,,4.78,49,,3819,5726
