ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
200215651,Photo,Rock Wren,Salpinctes obsoletus,,Philip Georgakakos,2020-01-18,2020,1,18,915,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S63524908,"",,,,,Salpinctes obsoletus,rocwre,Species,26086,,4.72,18,,2325,3476
224587941,Photo,"Costa's Hummingbird",Calypte costae,,Philip Georgakakos,2020-04-17,2020,4,17,1323,United States,US-CA-001,California,Alameda,Claremont Canyon Regional Preserve,37.8661300,-122.2395730,"",,Unspecified,"","",,,,,,,S67381248,"",,,,Great find by Teale Fristoe! Bright male feeding on Pride if Madeira flowers at top of hill. Fist seen 13:40 last seen 14:15,Calypte costae,coshum,Species,4666,,4.60,15,,2056,2978
224250571,Photo,Calliope Hummingbird,Selasphorus calliope,,Philip Georgakakos,2020-04-16,2020,4,16,1150,United States,US-CA-001,California,Alameda,Garin Rd.--Pride of Madeira patch,37.6281342,-122.0349708,"",,Unspecified,"","",,,,,,,S67331851,"",,,,"Midway up hill one male, one female",Selasphorus calliope,calhum,Species,4707,,4.67,6,,2743,2650
238305261,Photo,Northern Pygmy-Owl,Glaucidium gnoma,,Philip Georgakakos,2020-05-24,2020,5,24,737,United States,US-CA-001,California,Alameda,Sunol Regional Wilderness,37.5243214,-121.8211288,"",,Unspecified,"","",,,,,,,S69592561,"",,,,On McGuire peaks rd,Glaucidium gnoma,nopowl,Species,8501,,4.38,8,,1860,1945
200217711,Photo,Ring-billed Gull,Larus delawarensis,,Philip Georgakakos,2020-01-18,2020,1,18,915,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S63524908,"",,,,,Larus delawarensis,ribgul,Species,6263,,4.25,8,,3165,4066
295623531,Photo,Short-eared Owl,Asio flammeus,,Philip Georgakakos,2021-01-07,2021,1,7,644,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S78850989,"",,,,Off bay view trail 15:30,Asio flammeus,sheowl,Species,8829,,4.50,6,,3712,5568
224250551,Photo,Calliope Hummingbird,Selasphorus calliope,,Philip Georgakakos,2020-04-16,2020,4,16,1150,United States,US-CA-001,California,Alameda,Garin Rd.--Pride of Madeira patch,37.6281342,-122.0349708,"",,Unspecified,"","",,,,,,,S67331851,"",,,,"Midway up hill one male, one female",Selasphorus calliope,calhum,Species,4691,,5.00,4,,2012,2123
224250431,Photo,"Anna's Hummingbird",Calypte anna,,Philip Georgakakos,2020-04-16,2020,4,16,1150,United States,US-CA-001,California,Alameda,Garin Rd.--Pride of Madeira patch,37.6281342,-122.0349708,"",,Unspecified,"","",,,,,,,S67331851,"",,,,,Calypte anna,annhum,Species,4699,,5.00,4,,2182,2962
268905231,Photo,American Dipper,Cinclus mexicanus,,Philip Georgakakos,2020-09-21,2020,9,21,1119,United States,US-CA-045,California,Mendocino,Angelo Coast Range Reserve,39.7216481,-123.6532264,"",,Unspecified,"","",,,,,,,S73910344,"",,,,,Cinclus mexicanus,amedip,Species,26751,,4.60,5,,2227,3029
295623461,Photo,Short-eared Owl,Asio flammeus,,Philip Georgakakos,2021-01-07,2021,1,7,644,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S78850989,"",,,,Off bay view trail 15:30,Asio flammeus,sheowl,Species,8829,,4.50,6,,2820,3861
295623591,Photo,Loggerhead Shrike,Lanius ludovicianus,,Philip Georgakakos,2021-01-07,2021,1,7,644,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S78850989,"",,,,,Lanius ludovicianus,logshr,Species,20158,,4.33,6,,2041,2701
396513201,Photo,Varied Thrush,Ixoreus naevius,,Philip Georgakakos,2021-12-16,2021,12,16,725,United States,US-CA-001,California,Alameda,Joaquin Miller Park,37.8126997,-122.1883535,"",,Unspecified,"","",,,,,,,S98978735,"",,,,,Ixoreus naevius,varthr,Species,27311,,4.75,4,,2381,3195
309553461,Photo,Wrentit,Chamaea fasciata,,Philip Georgakakos,2021-02-19,2021,2,19,1152,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP (general--use more specific location if possible),37.8798668,-121.9183731,"",,Unspecified,"","",,,,,,,S81966027,"",,,,,Chamaea fasciata,wrenti,Species,24405,,4.75,4,,2157,2759
227673491,Photo,Greater Roadrunner,Geococcyx californianus,,Philip Georgakakos,2020-04-26,2020,4,26,715,United States,US-CA-001,California,Alameda,Mines Rd. (ALA Co.),37.5878950,-121.6074071,"",,Unspecified,"","",,,,,,,S67860916,"",,,,Found singing in an elder tree around mile 7. After singing for around 10 minutes came up on the road and jogged past us and uphill,Geococcyx californianus,greroa,Species,2945,,4.75,4,,3076,4730
227673481,Photo,Greater Roadrunner,Geococcyx californianus,,Philip Georgakakos,2020-04-26,2020,4,26,715,United States,US-CA-001,California,Alameda,Mines Rd. (ALA Co.),37.5878950,-121.6074071,"",,Unspecified,"","",,,,,,,S67860916,"",,,,Found singing in an elder tree around mile 7. After singing for around 10 minutes came up on the road and jogged past us and uphill,Geococcyx californianus,greroa,Species,2945,,4.75,4,,2834,4901
247691061,Photo,Pacific-slope Flycatcher,Empidonax difficilis,,Philip Georgakakos,2020-07-04,2020,7,4,800,United States,US-CA-045,California,Mendocino,Angelo Coast Range Reserve,39.7216481,-123.6532264,"",,Unspecified,"","",,,,,,,S71145479,"",,,,,Empidonax difficilis,pasfly,Species,16202,,4.20,5,,1906,2368
237700501,Photo,Pacific Loon,Gavia pacifica,,Philip Georgakakos,2020-05-22,2020,5,22,1604,United States,US-CA-001,California,Alameda,Ballena Bay,37.7661689,-122.2824669,Juvenile – 1,,Unspecified,"","",,,,,,,S69491818,"",,,,Loon with chin-strap and more slender bill than common. Hanging out on the marina side of the channel wall.,Gavia pacifica,pacloo,Species,6545,,4.50,4,,1160,2142
268912281,Photo,Ring-necked Pheasant,Phasianus colchicus,,Philip Georgakakos,2020-10-06,2020,10,6,723,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S74516550,"",,,,Details later,Phasianus colchicus,rinphe,Species,1437,,5.00,3,,2787,4058
229882781,Photo,Ruddy Turnstone,Arenaria interpres,,Philip Georgakakos,2020-05-02,2020,5,2,709,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S68288147,"",,,,"Exact count. Groups of 4, 3, and 19 along shoreline trail. Most in spectacular alternate plumage.",Arenaria interpres,rudtur,Species,5836,,5.00,3,,2768,3724
229853941,Photo,Barn Swallow,Hirundo rustica,,Philip Georgakakos,2020-05-02,2020,5,2,1154,United States,US-CA-001,California,Alameda,Don Edwards NWR (ALA Co.),37.5316305,-122.0733619,"",,Unspecified,"","",,,,,,,S68273801,"",,,,,Hirundo rustica,barswa,Species,23153,,5.00,3,,2874,3183
229853931,Photo,Barn Swallow,Hirundo rustica,,Philip Georgakakos,2020-05-02,2020,5,2,1154,United States,US-CA-001,California,Alameda,Don Edwards NWR (ALA Co.),37.5316305,-122.0733619,"",,Unspecified,"","",,,,,,,S68273801,"",,,,,Hirundo rustica,barswa,Species,23153,,5.00,3,,2623,2195
226975071,Photo,"MacGillivray's Warbler",Geothlypis tolmiei,,Philip Georgakakos,2020-04-24,2020,4,24,647,United States,US-CA-001,California,Alameda,Mines Rd. (ALA Co.),37.5878950,-121.6074071,"",,Unspecified,"","",,,,,,,S67755951,"",,,,Mile 15.72. Male.,Geothlypis tolmiei,macwar,Species,32723,,5.00,3,,1611,1777
224250561,Photo,Calliope Hummingbird,Selasphorus calliope,,Philip Georgakakos,2020-04-16,2020,4,16,1150,United States,US-CA-001,California,Alameda,Garin Rd.--Pride of Madeira patch,37.6281342,-122.0349708,"",,Unspecified,"","",,,,,,,S67331851,"",,,,"Midway up hill one male, one female",Selasphorus calliope,calhum,Species,4691,,5.00,3,,2089,2163
220555441,Photo,Wrentit,Chamaea fasciata,,Philip Georgakakos,2020-03-31,2020,3,31,806,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP--Mitchell Canyon,37.9149001,-121.9479203,"",,Unspecified,"","",,,,,,,S66462279,"",,,,,Chamaea fasciata,wrenti,Species,24405,,5.00,3,,2606,3707
148940821,Photo,Dark-eyed Junco,Junco hyemalis,,Philip Georgakakos,2019-04-03,2019,4,3,1822,United States,US-CA-001,California,Alameda,Redwood Regional Park--Canyon Meadow area,37.8076280,-122.1488356,Adult Male,,Unspecified,"","",,,,,,,S54536431,"",,,,,Junco hyemalis,daejun,Species,31867,,5.00,3,,,
237700431,Photo,Least Tern,Sternula antillarum,,Philip Georgakakos,2020-05-22,2020,5,22,1604,United States,US-CA-001,California,Alameda,Ballena Bay,37.7661689,-122.2824669,"",,Unspecified,"","",,,,,,,S69491818,"",,,,,Sternula antillarum,leater1,Species,6404,,4.00,6,,1222,1636
295623541,Photo,Short-eared Owl,Asio flammeus,,Philip Georgakakos,2021-01-07,2021,1,7,644,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S78850989,"",,,,Off bay view trail 15:30,Asio flammeus,sheowl,Species,8829,,4.20,5,,3049,4643
375988141,Photo,White-crowned Sparrow,Zonotrichia leucophrys,,Philip Georgakakos,2021-10-07,2021,10,7,805,United States,US-CT-009,Connecticut,New Haven,Hammonasset Beach SP,41.2619859,-72.5548234,"",,Unspecified,"","",,,,,,,S95719140,"",,,,Hanging around visitors center and near the woods at the entrance to Willard Island,Zonotrichia leucophrys,whcspa,Species,32099,,4.00,5,,2145,3518
295623501,Photo,Short-eared Owl,Asio flammeus,,Philip Georgakakos,2021-01-07,2021,1,7,644,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S78850989,"",,,,Off bay view trail 15:30,Asio flammeus,sheowl,Species,8829,,4.00,5,,2732,3421
133860001,Photo,"Barrow's Goldeneye",Bucephala islandica,,Philip Georgakakos,2019-01-07,2019,1,7,1213,United States,US-CA-001,California,Alameda,Lake Merritt--outflow channel,37.7951354,-122.2603226,Adult Male,,Unspecified,"","",,,,,,,S51451695,"",,,,,Bucephala islandica,bargol,Species,647,,4.00,5,,848,1280
227673471,Photo,Greater Roadrunner,Geococcyx californianus,,Philip Georgakakos,2020-04-26,2020,4,26,715,United States,US-CA-001,California,Alameda,Mines Rd. (ALA Co.),37.5878950,-121.6074071,"",,Unspecified,"","",,,,,,,S67860916,"",,,,Found singing in an elder tree around mile 7. After singing for around 10 minutes came up on the road and jogged past us and uphill,Geococcyx californianus,greroa,Species,2945,,4.67,3,,3668,4758
224986091,Photo,Hermit Warbler,Setophaga occidentalis,,Philip Georgakakos,2020-04-18,2020,4,18,815,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP--Mitchell Canyon,37.9149001,-121.9479203,"",,Unspecified,"","",,,,,,,S67426359,"",,,,Counted throughout walk. Mostly in oaks in mixed flocks,Setophaga occidentalis,herwar,Species,32901,,4.67,3,,2911,4334
224985631,Photo,"Cassin's Vireo",Vireo cassinii,,Philip Georgakakos,2020-04-18,2020,4,18,815,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP--Mitchell Canyon,37.9149001,-121.9479203,"",,Unspecified,"","",,,,,,,S67426359,"",,,,Counted throughout walk. Mostly in oaks in mixed flocks,Vireo cassinii,casvir,Species,18377,,4.67,3,,3015,3129
224985621,Photo,"Cassin's Vireo",Vireo cassinii,,Philip Georgakakos,2020-04-18,2020,4,18,815,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP--Mitchell Canyon,37.9149001,-121.9479203,"",,Unspecified,"","",,,,,,,S67426359,"",,,,Counted throughout walk. Mostly in oaks in mixed flocks,Vireo cassinii,casvir,Species,18377,,4.67,3,,1510,3039
217769201,Photo,"Wilson's Warbler",Cardellina pusilla,,Philip Georgakakos,2020-03-24,2020,3,24,716,United States,US-CA-001,California,Alameda,Redwood Regional Park--Canyon Meadow area,37.8076280,-122.1488356,"",Vocalizing,Unspecified,"","",,,,,,,S66166913,"",,,,Counted throughout walk. Singing along Redwood Creek,Cardellina pusilla,wlswar,Species,33029,,4.67,3,"",2776,4889
192474881,Photo,Oak Titmouse,Baeolophus inornatus,,Philip Georgakakos,2019-12-06,2019,12,6,902,United States,US-CA-013,California,Contra Costa,Heather Farm Park,37.9209496,-122.0434338,"",,Unspecified,"","",,,,,,,S62090491,"",,,,,Baeolophus inornatus,oaktit,Species,21215,,4.67,3,,3165,4537
185524471,Photo,Lesser Frigatebird,Fregata ariel,,Philip Georgakakos,2019-10-25,2019,10,25,856,French Polynesia,PF-WI,Windward Islands,,"Rimatuu and walk around bird island(-17.0282,-149.5519)",-17.0282090,-149.5519400,"",,Unspecified,"","",,,,,,,S60997870,"",,,,,Fregata ariel,lesfri,Species,6897,,4.67,3,,1844,2833
184907751,Photo,Grey-backed Tern,Onychoprion lunatus,,Philip Georgakakos,2019-10-25,2019,10,25,856,French Polynesia,PF-WI,Windward Islands,,"Rimatuu and walk around bird island(-17.0282,-149.5519)",-17.0282090,-149.5519400,"",Flying,Unspecified,"","",,,,,,,S60997870,"",,,,,Onychoprion lunatus,gybter1,Species,6455,,4.67,3,"",1334,2065
149251331,Photo,Western Bluebird,Sialia mexicana,,Philip Georgakakos,2019-04-05,2019,4,5,1553,United States,US-CA-013,California,Contra Costa,Heather Farm Park,37.9209496,-122.0434338,Adult Male,,Unspecified,"","",,,,,,,S54602284,"",,,,,Sialia mexicana,wesblu,Species,27041,,4.67,3,,,
149021181,Photo,"Wilson's Warbler",Cardellina pusilla,,Philip Georgakakos,2019-04-04,2019,4,4,708,United States,US-CA-001,California,Alameda,Redwood Regional Park--Canyon Meadow area,37.8076280,-122.1488356,Adult Male,,Unspecified,"","",,,,,,,S54552840,"",,,,,Cardellina pusilla,wlswar,Species,33029,,4.67,3,,,
138595651,Photo,Pygmy Nuthatch,Sitta pygmaea,,Philip Georgakakos,2019-02-02,2019,2,2,1050,United States,US-CA-013,California,Contra Costa,Redwood Regional Park--Skyline Gate area,37.8317047,-122.1845663,Adult,,Unspecified,"","",,,,,,,S52308968,"",,,,,Sitta pygmaea,pygnut,Species,25885,,4.67,3,,,
133133121,Photo,"Anna's Hummingbird",Calypte anna,,Philip Georgakakos,2019-01-04,2019,1,4,907,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,Adult Male,,Unspecified,"","",,,,,,,S51318684,"",,,,,Calypte anna,annhum,Species,4699,,4.67,3,,863,1280
141233121,Photo,Tree Swallow,Tachycineta bicolor,,Philip Georgakakos,2019-02-17,2019,2,17,805,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S52840693,"",,,,,Tachycineta bicolor,treswa,Species,23074,,4.25,4,,,
158489111,Photo,Brown-headed Cowbird,Molothrus ater,,Philip Georgakakos,2019-05-13,2019,5,13,840,United States,US-CA-045,California,Mendocino,MacKerricher SP- Please use more precise location,39.4892047,-123.7889671,Adult,,Unspecified,"","",,,,,,,S56229578,"",,,,,Molothrus ater,bnhcow,Species,32732,,4.00,4,,3712,5568
271561011,Photo,Black Oystercatcher,Haematopus bachmani,,Philip Georgakakos,2020-10-09,2020,10,9,912,United States,US-CA-001,California,Alameda,MLK Jr. Regional Shoreline,37.7318068,-122.2070861,"",,Unspecified,"","",,,,,,,S74605741,"",,,,,Haematopus bachmani,blkoys,Species,5611,,4.00,4,,3022,4180
