ML Catalog Number,Format,Scientific Name,Common Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Elevation (m),Age/Sex,Behaviors,Playback,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed?,Air Temp(ºC),Water Temp(ºC),Media notes,Observation Details,Class,Order,Family,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2 Display Name,Recordist 2 Profile URL,Average Community Rating,Number of Ratings,Asset State,Asset Tags,Contributor Profile URL,Original Image Height,Original Image Width,Specimen Page URL,eBird Checklist URL,ebird Species URL,isInternalUser,mediaDownloadUrl,report_as
187877091,Photo,Psaltriparus minimus,Bushtit,,Robert Raffel,11/13/2019,2019,11,13,906,United States,US-CA-013,California,Contra Costa,El Toyonal,37.8977,-122.222,,,,Unspecified,,,,,,,,S61423825,,,,,,,,,Psaltriparus minimus,bushti,Species,24234,,,4.4,15,committed,,https://ebird.org/profile/ODExMjE3,1878,2655,https://macaulaylibrary.org/asset/187877091,https://ebird.org/view/checklist/S61423825,https://ebird.org/species/bushti,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,bushti
224882501,Photo,Phalaenoptilus nuttallii,Common Poorwill,,Robert Raffel,4/18/2020,2020,4,18,504,United States,US-CA-013,California,Contra Costa,Mt. Diablo SP--Mitchell Canyon,37.9149,-121.9479,,,,Unspecified,,,,,,,,S67422453,,,,,"At least 6 along Red Road between 5:30 and 6:00.  Saw 6 birds on road (or their eye shine).  Heard 2 birds singing as it was getting light that I believe were additional birds.  I did not play a tape, but a couple of birds flew in towards me.  Perhaps attracted by my light?  It was interesting seeing a pair of glowing eyes flying towards me.  They did not appear concerned with my presence, my light, or the flash from my camera.  They would fly-catch right in front of me sometimes landing about 10 feet away.",,,,Phalaenoptilus nuttallii,compoo,Species,3504,,,4.166666667,6,committed,,https://ebird.org/profile/ODExMjE3,2188,3094,https://macaulaylibrary.org/asset/224882501,https://ebird.org/view/checklist/S67422453,https://ebird.org/species/compoo,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,compoo
181820911,Photo,Aimophila ruficeps,Rufous-crowned Sparrow,,Robert Raffel,10/11/2019,2019,10,11,849,United States,US-CA-013,California,Contra Costa,Diablo Foothills Regional Park/Castle Rock Park,37.8884,-121.9953,,,,Unspecified,,,,,,,,S60528220,,,,,,,,,Aimophila ruficeps,rucspa,Species,32114,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,1898,2684,https://macaulaylibrary.org/asset/181820911,https://ebird.org/view/checklist/S60528220,https://ebird.org/species/rucspa,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,rucspa
165313241,Photo,Falco sparverius,American Kestrel,,Robert Raffel,6/21/2019,2019,6,21,1900,United States,US-CA-013,California,Contra Costa,Dow Wetlands Preserve,38.0213,-121.8319,,Unknown,,Unspecified,,,,,,,,S57579903,,,,,,,,,Falco sparverius,amekes,Species,11407,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,1181,1670,https://macaulaylibrary.org/asset/165313241,https://ebird.org/view/checklist/S57579903,https://ebird.org/species/amekes,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,amekes
151297231,Photo,Polioptila caerulea,Blue-gray Gnatcatcher,,Robert Raffel,4/14/2019,2019,4,14,826,United States,US-CA-013,California,Contra Costa,"Mount Diablo State Park - Green Ranch Road, Clayton US-CA (37.8702,-121.9250)",37.8702,-121.925,,Unknown,,Unspecified,,,,,,,,S54954937,,,,,,,,,Polioptila caerulea,buggna,Species,26030,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,2885,4080,https://macaulaylibrary.org/asset/151297231,https://ebird.org/view/checklist/S54954937,https://ebird.org/species/buggna,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,buggna
145961751,Photo,Sturnus vulgaris,European Starling,,Robert Raffel,3/17/2019,2019,3,17,1327,United States,US-CA-013,California,Contra Costa,Bethel Island,38.0321,-121.6375,,Unknown,,Unspecified,,,,,,,,S53950618,,,,,,,,,Sturnus vulgaris,eursta,Species,26739,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,2179,3081,https://macaulaylibrary.org/asset/145961751,https://ebird.org/view/checklist/S53950618,https://ebird.org/species/eursta,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,eursta
145089591,Photo,Vireo huttoni,Hutton's Vireo,,Robert Raffel,3/3/2019,2019,3,3,923,United States,US-CA-013,California,Contra Costa,"75 Bacon Ct, Lafayette US-CA (37.9065,-122.0851)",37.9065,-122.0851,,Unknown,,Unspecified,,,,,,,,S53347144,,,,,,,,,Vireo huttoni,hutvir,Species,18358,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,2855,4037,https://macaulaylibrary.org/asset/145089591,https://ebird.org/view/checklist/S53347144,https://ebird.org/species/hutvir,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,hutvir
140715251,Photo,Turdus migratorius,American Robin,,Robert Raffel,2/11/2019,2019,2,11,1329,United States,US-CA-013,California,Contra Costa,"75 Bacon Ct, Lafayette US-CA (37.9065,-122.0851)",37.9065,-122.0851,,Unknown,,Unspecified,,,,,,,,S52604746,,,,,,,,,Turdus migratorius,amerob,Species,27462,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,2839,4014,https://macaulaylibrary.org/asset/140715251,https://ebird.org/view/checklist/S52604746,https://ebird.org/species/amerob,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,amerob
124025841,Photo,Columba livia (Feral Pigeon),Rock Pigeon (Feral Pigeon),,Robert Raffel,11/17/2018,2018,11,17,634,United States,US-CA-087,California,Santa Cruz,Seacliff SB,36.9709,-121.9132,,Unknown,,Unspecified,,,,,,,,S49996499,,,,,,,,,Columba livia,rocpig1,Domestic,1813,,,5,3,committed,,https://ebird.org/profile/ODExMjE3,3149,4403,https://macaulaylibrary.org/asset/124025841,https://ebird.org/view/checklist/S49996499,https://ebird.org/species/rocpig,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,rocpig
278995351,Photo,Myadestes townsendi,Townsend's Solitaire,,Robert Raffel,11/10/2020,2020,11,10,704,United States,US-CA-013,California,Contra Costa,Black Diamond Mines Regional Preserve,37.9722,-121.8583,,,,Unspecified,,,,,,,,S76089334,,,,,"Pair sitting in top of tree.  Flew off after a couple of minutes.  We believe they were passing through, but if someone is interested in checking the area, they were near the corral along Stewartsville Trail at (37.943729, -121.835458)  Townsend's Solitaire was on the short list of targeted rarities that John had identified for this trip, and then he found it!",,,,Myadestes townsendi,towsol,Species,27067,,,4.5,4,committed,,https://ebird.org/profile/ODExMjE3,1481,2094,https://macaulaylibrary.org/asset/278995351,https://ebird.org/view/checklist/S76089334,https://ebird.org/species/towsol,FALSE,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/,towsol
