ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
41256901,Photo,Canvasback,Aythya valisineria,,Sharon J,2016-11-28,2016,11,28,1438,United States,US-CA-001,California,Alameda,Rotary Nature Center,37.8071944,-122.2559479,Male,,Unspecified,"","",,,,,,,S32773419,"",,,,,Aythya valisineria,canvas,Species,575,,4.56,9,,1500,2000
405501751,Photo,Blackburnian Warbler,Setophaga fusca,,Sharon J,2022-01-13,2022,1,13,1151,United States,US-CA-075,California,San Francisco,Holly Park,37.7371541,-122.4201177,Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S100671093,"",,,caterpillar ,"Continuing (found January 9 by Rajan Rao) in ceanothus surrounding playground, chipping frequently. Chip notes thinner-sounding than YRWA Surprisingly unlike TOWA: more of a soft apricot color to face and breast than yellow or orange. Grey facial triangle, brownish-grey above with white wingbars and pale back braces. A little streaking on flanks, pretty diffuse and faint yellowish near vent rather than pure white like TOWA.",Setophaga fusca,bkbwar,Species,32974,,4.60,5,"",1235,1600
99186931,Photo,Great Blue Heron,Ardea herodias,,Sharon J,2018-05-08,2018,5,8,1419,United States,US-CA-001,California,Alameda,Alameda Wildlife Reserve--Breakwater,37.7685280,-122.3100000,"",,Unspecified,"","",,,,,,,S45465721,"",,,,,Ardea herodias,grbher3,Species,7168,,4.60,5,,1168,1600
87916621,Photo,Pied-billed Grebe,Podilymbus podiceps,,Sharon J,2018-02-28,2018,2,28,1439,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S43276776,"",,,,,Podilymbus podiceps,pibgre,Species,1756,,4.00,9,,1128,1600
84705801,Photo,Ring-billed Gull,Larus delawarensis,,Sharon J,2018-02-03,2018,2,3,1300,United States,US-CA-001,California,Alameda,Rotary Nature Center,37.8071944,-122.2559479,"",,Unspecified,"","",,,,,,,S42469007,"",,,,,Larus delawarensis,ribgul,Species,6263,,4.25,4,,1067,1600
259373251,Photo,Peregrine Falcon,Falco peregrinus,,Sharon J,2020-08-31,2020,8,31,1529,United States,US-CA-001,California,Alameda,Albany Mudflats,37.8923310,-122.3117995,Juvenile – 1,Flying,Unspecified,"","",,,,,,,S73050654,"",,,,,Falco peregrinus,perfal,Species,11487,,4.67,3,"",1083,1600
44011851,Photo,Snowy Egret,Egretta thula,,Sharon J,2016-12-31,2016,12,31,1409,United States,US-CA-013,California,Contra Costa,Contra Loma Regional Park,37.9713552,-121.8237233,Adult,,Unspecified,"","",,,,,,,S33320581,"",,,,,Egretta thula,snoegr,Species,7152,,4.67,3,,900,1200
167700291,Photo,Black-necked Stilt,Himantopus mexicanus,,Sharon J,2019-07-05,2019,7,5,1441,United States,US-CA-001,California,Alameda,"Hayward Regional Shoreline--Frank's Dump",37.6540967,-122.1544504,Juvenile,,Unspecified,"","",,,,,,,S57955150,"",,,,,Himantopus mexicanus,bknsti,Species,5577,,4.25,4,,1166,1600
339173251,Photo,Dark-eyed Junco,Junco hyemalis,,Sharon J,2021-05-16,2021,5,16,1114,United States,US-CA-013,California,Contra Costa,Tilden Regional Park--Botanic Garden,37.8930465,-122.2434998,Adult Male – 1,Feeding Young,Unspecified,"","",,,,,,,S88327819,"",,,,,Junco hyemalis,daejun,Species,31867,,4.33,3,"",1169,1600
259373241,Photo,Peregrine Falcon,Falco peregrinus,,Sharon J,2020-08-31,2020,8,31,1529,United States,US-CA-001,California,Alameda,Albany Mudflats,37.8923310,-122.3117995,Juvenile – 1,Flying,Unspecified,"","",,,,,,,S73050654,"",,,,,Falco peregrinus,perfal,Species,11487,,4.33,3,"",1119,1600
405500181,Photo,Blackburnian Warbler,Setophaga fusca,,Sharon J,2022-01-13,2022,1,13,1151,United States,US-CA-075,California,San Francisco,Holly Park,37.7371541,-122.4201177,Female – 1,Foraging or Eating,Unspecified,"","",,,,,,,S100671093,"",,,tongue,"Continuing (found January 9 by Rajan Rao) in ceanothus surrounding playground, chipping frequently. Chip notes thinner-sounding than YRWA Surprisingly unlike TOWA: more of a soft apricot color to face and breast than yellow or orange. Grey facial triangle, brownish-grey above with white wingbars and pale back braces. A little streaking on flanks, pretty diffuse and faint yellowish near vent rather than pure white like TOWA.",Setophaga fusca,bkbwar,Species,32974,,3.75,4,"",1163,1600
401781861,Photo,Golden-crowned Kinglet,Regulus satrapa,,Sharon J,2022-01-02,2022,1,2,1145,United States,US-CA-013,California,Contra Costa,Tilden Nature Area,37.9147478,-122.2617302,"",,Unspecified,"","",,,,,,,S99982510,"",,,,,Regulus satrapa,gockin,Species,25946,,4.00,3,,1239,1600
401780681,Photo,Golden-crowned Kinglet,Regulus satrapa,,Sharon J,2022-01-02,2022,1,2,1145,United States,US-CA-013,California,Contra Costa,Tilden Nature Area,37.9147478,-122.2617302,"",,Unspecified,"","",,,,,,,S99982510,"",,,,,Regulus satrapa,gockin,Species,25946,,4.00,3,,1115,1600
315551891,Photo,Redhead,Aythya americana,,Sharon J,2021-03-10,2021,3,10,1245,United States,US-CA-001,California,Alameda,Lake Chabot Regional Park,37.7244154,-122.1024199,"",,Unspecified,"","",,,,,,,S83164742,"",,,,Adult male at marina,Aythya americana,redhea,Species,576,,4.00,3,,1191,1600
266940231,Photo,Palm Warbler,Setophaga palmarum,,Sharon J,2020-09-29,2020,9,29,1502,United States,US-CA-001,California,Alameda,McLaughlin Eastshore SP--Albany access,37.8903260,-122.3147650,"",,Unspecified,"","",,,,,,,S74227830,"",,,,"Continuing (found yesterday by Alex Henry) in fennel near nw corner of plateau. Drab brown with pale supercilium and throat, faint streaks underneath, except for bright yellow undertail. Tail continuously bobbing. Have photos.  Seen again later near big dirt pile",Setophaga palmarum,palwar,Species,32848,,3.75,4,,1265,1600
405779531,Photo,Swamp Sparrow,Melospiza georgiana,,Sharon J,2022-01-14,2022,1,14,1333,United States,US-CA-001,California,Alameda,Berkeley Aquatic Park,37.8558130,-122.2977448,"",,Unspecified,"","",,,,,,,S100739091,"",,,,"Continuing in the cattail and bramble-lined pond SE of disc golf hole 4. Generally like small song sparrow with grey face, brown auriculars , darker brown eye stripe, lots of chestnut on wings and crown. Breast grey with only very fine, faint streaking.",Melospiza georgiana,swaspa,Species,32225,,4.00,3,,1115,1600
