"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
141542171,Photo,"Melospiza georgiana","Swamp Sparrow",,"Teale Fristoe",2/16/2019,2019,2,16,900,"United States",US-CA-085,California,"Santa Clara","Alviso Marina County Park (please use a specific pond hotspot where possible)",37.4299,-121.9794,,Unknown,,Unspecified,,,,,,,,S52915856,,,,,"Continuing. First spotted where it often has been, along the path west of the eastern most boardwalk (the L shaped one). Later seen east of the northern end of the western most boardwalk (the one the crosses the marsh).",,,,"Melospiza georgiana",swaspa,Species,32055.0,,,4.166666666666667,6,committed,,"https://ebird.org/profile/NDE4MjM4",1574,2415,"https://macaulaylibrary.org/asset/141542171","https://ebird.org/view/checklist/S52915856","https://ebird.org/species/swaspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",swaspa
148913761,Photo,"Polioptila caerulea","Blue-gray Gnatcatcher",,"Teale Fristoe",4/3/2019,2019,4,3,1130,"United States",US-CA-001,California,Alameda,"Claremont Canyon Regional Preserve",37.8661,-122.2396,,"Adult Male",,Unspecified,,,,,,,,S54528937,,,,,,,,,"Polioptila caerulea",buggna,Species,26030.0,,,5.0,3,committed,,"https://ebird.org/profile/NDE4MjM4",1549,2402,"https://macaulaylibrary.org/asset/148913761","https://ebird.org/view/checklist/S54528937","https://ebird.org/species/buggna",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",buggna
192221831,Photo,"Aythya valisineria",Canvasback,,"Teale Fristoe",12/8/2019,2019,12,8,1059,"United States",US-CA-001,California,Alameda,"Lake Merritt",37.8035,-122.2567,,"Adult Male",,Unspecified,,,,,,,,S62164763,,,,,,,,,"Aythya valisineria",canvas,Species,575.0,,,4.666666666666667,3,committed,,"https://ebird.org/profile/NDE4MjM4",2973,4093,"https://macaulaylibrary.org/asset/192221831","https://ebird.org/view/checklist/S62164763","https://ebird.org/species/canvas",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",canvas
154622971,Photo,"Quiscalus mexicanus","Great-tailed Grackle",,"Teale Fristoe",4/28/2019,2019,4,28,1429,"United States",US-CA-113,California,Yolo,"Woodland/Davis Water Treatment Plant",38.6658,-121.7175,,Unknown,,Unspecified,,,,,,,,S55530814,,,,,,,,,"Quiscalus mexicanus",grtgra,Species,32588.0,,,4.666666666666667,3,committed,,"https://ebird.org/profile/NDE4MjM4",,,"https://macaulaylibrary.org/asset/154622971","https://ebird.org/view/checklist/S55530814","https://ebird.org/species/grtgra",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",grtgra
154622791,Photo,"Chordeiles acutipennis","Lesser Nighthawk",,"Teale Fristoe",4/28/2019,2019,4,28,1740,"United States",US-CA-113,California,Yolo,"Cache Creek--Capay bridge vicinity",38.7102,-122.0474,,"Adult Male",,Unspecified,,,,,,,,S55539531,,,,,"All flying together around 6:40. Possibly more as I flushed pairs several times as well.",,,,"Chordeiles acutipennis",lesnig,Species,3400.0,,,4.666666666666667,3,committed,,"https://ebird.org/profile/NDE4MjM4",,,"https://macaulaylibrary.org/asset/154622791","https://ebird.org/view/checklist/S55539531","https://ebird.org/species/lesnig",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",lesnig
142320171,Photo,"Falco columbarius",Merlin,,"Teale Fristoe",2/23/2019,2019,2,23,1423,"United States",US-CA-001,California,Alameda,"Coyote Hills Regional Park",37.5538,-122.0875,,Unknown,,Unspecified,,,,,,,,S53074159,,,,,"Eating a western sandpiper.",,,,"Falco columbarius",merlin,Species,11441.0,,,4.666666666666667,3,committed,,"https://ebird.org/profile/NDE4MjM4",1532,2497,"https://macaulaylibrary.org/asset/142320171","https://ebird.org/view/checklist/S53074159","https://ebird.org/species/merlin",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",merlin
132696021,Photo,"Bucephala albeola",Bufflehead,,"Teale Fristoe",1/2/2019,2019,1,2,1052,"United States",US-CA-001,California,Alameda,"Lake Merritt",37.8035,-122.2567,,Unknown,,Unspecified,,,,,,,,S51224117,,,,,,,,,"Bucephala albeola",buffle,Species,629.0,,,4.0,4,committed,,"https://ebird.org/profile/NDE4MjM4",2137,3000,"https://macaulaylibrary.org/asset/132696021","https://ebird.org/view/checklist/S51224117","https://ebird.org/species/buffle",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",buffle
160673631,Photo,"Passerina amoena","Lazuli Bunting",,"Teale Fristoe",5/24/2019,2019,5,24,1105,"United States",US-CA-001,California,Alameda,"Claremont Canyon Regional Preserve",37.8661,-122.2396,,"Adult Male",,Unspecified,,,,,,,,S56696417,,,,,,,,,"Passerina amoena",lazbun,Species,33284.0,,,4.333333333333333,3,committed,,"https://ebird.org/profile/NDE4MjM4",1560,1993,"https://macaulaylibrary.org/asset/160673631","https://ebird.org/view/checklist/S56696417","https://ebird.org/species/lazbun",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",lazbun
176974791,Photo,"Empidonax traillii","Willow Flycatcher",,"Teale Fristoe",9/13/2019,2019,9,13,944,"United States",US-CA-001,California,Alameda,"Coyote Hills Regional Park",37.5538,-122.0875,,Unknown,,Unspecified,,,,,,,,S59777353,,,,,,,,,"Empidonax traillii",wilfly,Species,16179.0,,,4.333333333333333,3,committed,,"https://ebird.org/profile/NDE4MjM4",1335,1646,"https://macaulaylibrary.org/asset/176974791","https://ebird.org/view/checklist/S59777353","https://ebird.org/species/wilfly",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wilfly
190399581,Photo,"Salpinctes obsoletus","Rock Wren",,"Teale Fristoe",11/28/2019,2019,11,28,1228,"United States",US-CA-037,California,"Los Angeles","Royal Palms Beach",33.7174,-118.3205,,Unknown,,Unspecified,,,,,,,,S61824538,,,,,,,,,"Salpinctes obsoletus",rocwre,Species,26086.0,,,4.0,3,committed,,"https://ebird.org/profile/NDE4MjM4",2199,2824,"https://macaulaylibrary.org/asset/190399581","https://ebird.org/view/checklist/S61824538","https://ebird.org/species/rocwre",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",rocwre
186624471,Photo,"Mniotilta varia","Black-and-white Warbler",,"Teale Fristoe",11/8/2019,2019,11,8,1053,"United States",US-CA-001,California,Alameda,"stakeout Black-and-white Warbler, Berkeley (2019)",37.856,-122.2568,,Unknown,,Unspecified,,,,,,,,S61271498,,,,,"Continuing bird found by Sharon Jue on November 5th. Seen in a tall tree on the west side of Regent just north of Webster.",,,,"Mniotilta varia",bawwar,Species,32682.0,,,4.0,3,committed,,"https://ebird.org/profile/NDE4MjM4",1893,2587,"https://macaulaylibrary.org/asset/186624471","https://ebird.org/view/checklist/S61271498","https://ebird.org/species/bawwar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bawwar
195106121,Photo,"Lanius ludovicianus","Loggerhead Shrike",,"Teale Fristoe",12/25/2019,2019,12,25,1210,"United States",US-CA-083,California,"Santa Barbara","Lake Los Carneros Park",34.4432,-119.8498,,Unknown,,Unspecified,,,,,,,,S62618918,,,,,,,,,"Lanius ludovicianus",logshr,Species,20158.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",1372,1622,"https://macaulaylibrary.org/asset/195106121","https://ebird.org/view/checklist/S62618918","https://ebird.org/species/logshr",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",logshr
193747461,Photo,"Phalacrocorax penicillatus","Brandt's Cormorant",,"Teale Fristoe",12/16/2019,2019,12,16,1158,"United States",US-CA-023,California,Humboldt,"Humboldt Bay--North Spit jetty",40.7686,-124.239,,Unknown,,Unspecified,,,,,,,,S62393074,,,,,,,,,"Phalacrocorax penicillatus",bracor,Species,6959.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",2201,2451,"https://macaulaylibrary.org/asset/193747461","https://ebird.org/view/checklist/S62393074","https://ebird.org/species/bracor",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",bracor
191718771,Photo,"Phalacrocorax pelagicus","Pelagic Cormorant",,"Teale Fristoe",12/6/2019,2019,12,6,818,"United States",US-CA-001,California,Alameda,"MLK Jr. Regional Shoreline",37.7318,-122.2071,,Unknown,,Unspecified,,,,,,,,S62093275,,,,,,,,,"Phalacrocorax pelagicus",pelcor,Species,6961.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",2263,2494,"https://macaulaylibrary.org/asset/191718771","https://ebird.org/view/checklist/S62093275","https://ebird.org/species/pelcor",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",pelcor
191607281,Photo,"Anser caerulescens","Snow Goose",,"Teale Fristoe",12/5/2019,2019,12,5,1010,"United States",US-CA-001,California,Alameda,"San Francisco Bay Trail--Tony Lema Golf Course",37.6844,-122.1787,,Unknown,,Unspecified,,,,,,,,S62028756,,,,,,,,,"Anser caerulescens",snogoo,Species,240.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",1799,2287,"https://macaulaylibrary.org/asset/191607281","https://ebird.org/view/checklist/S62028756","https://ebird.org/species/snogoo",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",snogoo
181250011,Photo,"Passerella iliaca [unalaschcensis Group]","Fox Sparrow (Sooty)",,"Teale Fristoe",10/9/2019,2019,10,9,854,"United States",US-CA-001,California,Alameda,"McLaughlin Eastshore SP--Berkeley Meadow",37.867,-122.3102,,Unknown,,Unspecified,,,,,,,,S60483131,,,,,,,,,"Passerella iliaca",foxsp2,Group,31844.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",2176,2242,"https://macaulaylibrary.org/asset/181250011","https://ebird.org/view/checklist/S60483131","https://ebird.org/species/foxspa",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",foxspa
169596201,Photo,"Limosa lapponica","Bar-tailed Godwit",,"Teale Fristoe",7/24/2019,2019,7,24,1621,"United States",US-CA-001,California,Alameda,"Hayward Regional Shoreline--Winton Ave. access and parking area",37.6466,-122.1467,,Unknown,,Unspecified,,,,,,,,S58428939,,,,,"Continuing bird first found by Jerry Ting. Missing when I first arrived, but settled in very near the path after a Northern Harrier flushed the shorebird flock around 5pm, apparently in the same location it has been seen the previous few days.  Large shorebird very similar to the many nearby Marbled Godwits, but drabber, with much less orange color, plain white belly, and mostly unpatterned back. More prominent supercilium than most Marbleds. Black and white striped tail coverts. Hint of streaked underwing pattern caught in one photo of the bird preening.",,,,"Limosa lapponica",batgod,Species,5822.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",1411,1686,"https://macaulaylibrary.org/asset/169596201","https://ebird.org/view/checklist/S58428939","https://ebird.org/species/batgod",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",batgod
162331751,Photo,"Haemorhous cassinii","Cassin's Finch",,"Teale Fristoe",5/30/2019,2019,5,30,947,"United States",US-CA-037,California,"Los Angeles","Angeles NF--Throop Peak/Dawson Saddle Trail",34.3592,-117.8049,,Unknown,,Unspecified,,,,,,,,S56985213,,,,,,,,,"Haemorhous cassinii",casfin,Species,31102.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",1687,2288,"https://macaulaylibrary.org/asset/162331751","https://ebird.org/view/checklist/S56985213","https://ebird.org/species/casfin",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",casfin
160673571,Photo,"Cardellina pusilla","Wilson's Warbler",,"Teale Fristoe",5/24/2019,2019,5,24,1105,"United States",US-CA-001,California,Alameda,"Claremont Canyon Regional Preserve",37.8661,-122.2396,,Unknown,,Unspecified,,,,,,,,S56696417,,,,,,,,,"Cardellina pusilla",wlswar,Species,33029.0,,,4.5,2,committed,,"https://ebird.org/profile/NDE4MjM4",1756,2251,"https://macaulaylibrary.org/asset/160673571","https://ebird.org/view/checklist/S56696417","https://ebird.org/species/wlswar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",wlswar
