Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,230,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis,50,Santa Ana NWR (LTC 059),US-TX,15 Nov 2016,L129085,S32570258,,1
2,252,species,Snow Goose,Anser caerulescens,25,Laguna Atascosa NWR (LTC 024),US-TX,13 Nov 2016,L129005,S32652929,,1
3,256,species,Ross's Goose,Anser rossii,,Yolo Bypass Wildlife Area,US-CA,12 Dec 2016,L443535,S32983660,,1
6,259,species,Graylag Goose,Anser anser,2,Litzelstetten Outskirts,DE-BW,09 May 2023,L24163266,S136729027,,1
7,267,species,Greater White-fronted Goose,Anser albifrons,1,Lake Chabot Regional Park,US-CA,28 Aug 2016,L874154,S31310936,,1
8,284,species,Tundra Bean-Goose,Anser serrirostris,1,Lancaster Water Reclamation Plant (closed to birders),US-CA,02 Apr 2023,L404581,S132499559,,1
10,291,species,Brant,Branta bernicla,1,UCSB--Campus Lagoon,US-CA,25 Dec 2017,L1072372,S41308670,,1
11,308,species,Cackling Goose,Branta hutchinsii,,Billy Frank Jr. Nisqually NWR,US-WA,27 Dec 2016,L282253,S33236004,,1
12,319,species,Canada Goose,Branta canadensis,4,Lake Chabot Regional Park,US-CA,20 Oct 2013,L874154,S15457478,,1
15,341,species,Hawaiian Goose,Branta sandvicensis,6,Hanalei NWR--'Ohiki Rd,US-HI,11 Jul 2017,L1124298,S38095443,,1
17,353,species,Mute Swan,Cygnus olor,75,Hegnebucht--Lagune,DE-BW,09 May 2023,L4468341,S136762388,,1
18,358,species,Trumpeter Swan,Cygnus buccinator,2,Rio Hondo Spreading Grounds,US-CA,28 Dec 2019,L264665,S62706880,,1
19,360,species,Tundra Swan,Cygnus columbianus,,Yolo Bypass Wildlife Area,US-CA,12 Dec 2016,L443535,S32983660,,1
21,391,species,Egyptian Goose,Alopochen aegyptiaca,1,"Carr Park, Huntington Beach",US-CA,25 Nov 2022,L600908,S123021753,P,1
