ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
213119221,Photo,Common Poorwill,Phalaenoptilus nuttallii,,Teale Fristoe,2020-03-02,2020,3,2,1754,United States,US-CA-001,California,Alameda,UC Berkeley--Fire Trail,37.8741081,-122.2283936,"",,Unspecified,"","",,,,,,,S65382858,"",,,,,Phalaenoptilus nuttallii,compoo,Species,3504,,4.67,21,,3274,4028
107308281,Photo,Northern Hawk Owl,Surnia ulula,,Teale Fristoe,,,,,,United States,US-AK-290,Alaska,Yukon-Koyukuk,,,,"",,Unspecified,"","",,,,,,,,"",,,,,Surnia ulula,nohowl,Species,8565,,4.29,7,,3456,3811
320394031,Photo,Snowy Egret,Egretta thula,,Teale Fristoe,2021-03-27,2021,3,27,706,United States,US-CA-001,California,Alameda,Albany Bulb,37.8900570,-122.3246200,"",,Unspecified,"","",,,,,,,S84212601,"",,,,,Egretta thula,snoegr,Species,7152,,4.75,4,,2725,3396
248184481,Photo,California Gnatcatcher,Polioptila californica,,Teale Fristoe,2020-07-06,2020,7,6,618,United States,US-CA-111,California,Ventura,COSCA--Mt. Clef Ridge open space,34.2340278,-118.8799330,Adult Male – 1,,Unspecified,"","",,,,,,,S71192475,"",,,,,Polioptila californica,calgna,Species,26041,,4.40,5,,2010,2245
126329841,Photo,White-crowned Sparrow,Zonotrichia leucophrys,,Teale Fristoe,2018-12-02,2018,12,2,1123,United States,US-CA-055,California,Napa,Napa-Sonoma Marshes WA--Huichica Creek Unit,38.2076388,-122.3329353,"",,Unspecified,"","",,,,,,,S50385040,"",,,,,Zonotrichia leucophrys,whcspa,Species,32099,,4.20,5,,1565,2615
141542171,Photo,Swamp Sparrow,Melospiza georgiana,,Teale Fristoe,2019-02-16,2019,2,16,900,United States,US-CA-085,California,Santa Clara,Alviso Marina County Park (please use a specific pond hotspot where possible),37.4298703,-121.9793612,"",,Unspecified,"","",,,,,,,S52915856,"",,,,"Continuing. First spotted where it often has been, along the path west of the eastern most boardwalk (the L shaped one). Later seen east of the northern end of the western most boardwalk (the one the crosses the marsh).",Melospiza georgiana,swaspa,Species,32055,,4.17,6,,1574,2415
396769081,Photo,Painted Bunting,Passerina ciris,,Teale Fristoe,2021-12-17,2021,12,17,1229,United States,US-CA-045,California,Mendocino,Willits Painted Bunting Stakeout 2021,39.3614103,-123.3265480,"",,Unspecified,"","",,,,,,,S99015304,"",,,,Continuing lime green bird at feeders. Thanks for sharing Mike!,Passerina ciris,paibun,Species,33487,,4.50,4,,1794,2456
392784681,Photo,"Ridgway's Rail",Rallus obsoletus,,Teale Fristoe,2021-12-02,2021,12,2,830,United States,US-CA-001,California,Alameda,MLK Jr. Regional Shoreline,37.7318068,-122.2070861,"",,Unspecified,"","",,,,,,,S98374255,"",,,,,Rallus obsoletus,ridrai1,Species,5115,,4.50,4,,2176,2710
385899771,Photo,Western Screech-Owl,Megascops kennicottii,,Teale Fristoe,2021-11-06,2021,11,6,1430,United States,US-CA-013,California,Contra Costa,Briones Regional Park,37.9380572,-122.1346222,"",,Unspecified,"","",,,,,,,S97225184,"",,,,,Megascops kennicottii,wesowl1,Species,8430,,4.50,4,,2199,2959
226628431,Photo,Dunlin,Calidris alpina,,Teale Fristoe,2020-04-23,2020,4,23,1156,United States,US-CA-001,California,Alameda,Hayward Regional Shoreline,37.6419316,-122.1517012,"",,Unspecified,"","",,,,,,,S67693305,"",,,,,Calidris alpina,dunlin,Species,5867,,4.50,4,,1547,2021
107027261,Photo,Solitary Sandpiper,Tringa solitaria,,Teale Fristoe,2018-07-09,2018,7,9,1130,United States,US-AK-090,Alaska,Fairbanks North Star,West UAF Trails & Smith Lake,64.8643458,-147.8634453,"",,Unspecified,"","",,,,,,,S47100382,"",,,,,Tringa solitaria,solsan,Species,5973,,4.50,4,,2030,2897
297161091,Photo,Red Knot,Calidris canutus,,Teale Fristoe,2021-01-12,2021,1,12,1059,United States,US-CA-001,California,Alameda,Emeryville Marina,37.8393943,-122.3118854,"",,Unspecified,"","",,,,,,,S79143400,"",,,,,Calidris canutus,redkno,Species,5900,,5.00,3,,1650,2128
148913761,Photo,Blue-grey Gnatcatcher,Polioptila caerulea,,Teale Fristoe,2019-04-03,2019,4,3,1130,United States,US-CA-001,California,Alameda,Claremont Canyon Regional Preserve,37.8661300,-122.2395730,Adult Male,,Unspecified,"","",,,,,,,S54528937,"",,,,,Polioptila caerulea,buggna,Species,26030,,5.00,3,,1549,2402
371400221,Photo,Clay-colored Sparrow,Spizella pallida,,Teale Fristoe,2021-09-21,2021,9,21,936,United States,US-CA-001,California,Alameda,McLaughlin Eastshore SP--Albany access,37.8903260,-122.3147650,"",,Unspecified,"","",,,,,,,S94985847,"",,,,"Found by Alex Henry this morning. Relocated working the fennel on the eastern side of the burrowing owl enclosure. Buffy, neat Spizela sparrow with clean gray nape and pale lores.",Spizella pallida,clcspa,Species,31911,,4.25,4,,2334,2979
152858321,Photo,Spotted Owl,Strix occidentalis,,Teale Fristoe,,,,,,United States,US-CA-023,California,Humboldt,,,,"",,Unspecified,"","",,,,,,,,"",,,,,Strix occidentalis,spoowl,Species,8769,,4.25,4,,,
152858301,Photo,Spotted Owl,Strix occidentalis,,Teale Fristoe,,,,,,United States,US-CA-023,California,Humboldt,,,,"",,Unspecified,"","",,,,,,,,"",,,,,Strix occidentalis,spoowl,Species,8769,,4.25,4,,,
405107871,Photo,Tufted Duck,Aythya fuligula,,Teale Fristoe,2022-01-12,2022,1,12,845,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,"",,Unspecified,"","",,,,,,,S100618711,"",,,,"Continuing bird found by Mark Rauzon towards the end of the outflow channel. All black back, slightly smaller than nearby greater scaup, very tiny tuft present.",Aythya fuligula,tufduc,Species,609,,4.00,5,,1818,2575
288292171,Photo,Plumbeous Vireo,Vireo plumbeus,,Teale Fristoe,2020-12-15,2020,12,15,1102,United States,US-CA-013,California,Contra Costa,"Creekside Park (Brentwood, CC Co.) (includes Creek Rd)",37.9223102,-121.7135650,"",,Unspecified,"","",,,,,,,S77525284,"",,,,"Continuing bird found 12/1 by Ethan Monk. Seen around  37.920661, -121.714312 on both sides of the road. Sang a few times.",Vireo plumbeus,plsvir,Species,18500,,4.00,5,,1638,2280
405107881,Photo,Tufted Duck,Aythya fuligula,,Teale Fristoe,2022-01-12,2022,1,12,845,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,"",,Unspecified,"","",,,,,,,S100618711,"",,,,"Continuing bird found by Mark Rauzon towards the end of the outflow channel. All black back, slightly smaller than nearby greater scaup, very tiny tuft present.",Aythya fuligula,tufduc,Species,609,,3.83,6,,1634,2312
287000541,Photo,Downy Woodpecker,Dryobates pubescens,,Teale Fristoe,2020-12-10,2020,12,10,739,United States,US-CA-013,California,Contra Costa,EBMUD--Valle Vista Staging Area (permit required),37.8212430,-122.1393013,Adult Male – 1,,Unspecified,"","",,,,,,,S77322240,"",,,,,Dryobates pubescens,dowwoo,Species,10805,,3.83,6,,2007,2416
338802141,Photo,Brown-headed Cowbird,Molothrus ater,,Teale Fristoe,2021-05-15,2021,5,15,628,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S88182497,"",,,,,Molothrus ater,bnhcow,Species,32557,,4.67,3,,2871,3507
308538711,Photo,Western Gull,Larus occidentalis,,Teale Fristoe,2021-02-16,2021,2,16,1043,United States,US-CA-001,California,Alameda,Cesar Chavez Park,37.8709227,-122.3150389,"",,Unspecified,"","",,,,,,,S81758597,"",,,,,Larus occidentalis,wesgul,Species,6331,,4.67,3,,2711,4035
223938851,Photo,Grasshopper Sparrow,Ammodramus savannarum,,Teale Fristoe,2020-04-15,2020,4,15,819,United States,US-CA-001,California,Alameda,Garin/Dry Creek Pioneer Regional Park,37.6284527,-122.0283920,"",,Unspecified,"","",,,,,,,S67281628,"",,,,,Ammodramus savannarum,graspa,Species,31686,,4.67,3,,1633,1800
192221831,Photo,Canvasback,Aythya valisineria,,Teale Fristoe,2019-12-08,2019,12,8,1059,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,Adult Male – 1,,Unspecified,"","",,,,,,,S62164763,"",,,,,Aythya valisineria,canvas,Species,575,,4.67,3,,2973,4093
154622971,Photo,Great-tailed Grackle,Quiscalus mexicanus,,Teale Fristoe,2019-04-28,2019,4,28,1429,United States,US-CA-113,California,Yolo,Woodland/Davis WTP,38.6657506,-121.7174863,"",,Unspecified,"","",,,,,,,S55530814,"",,,,,Quiscalus mexicanus,grtgra,Species,32588,,4.67,3,,,
154622791,Photo,Lesser Nighthawk,Chordeiles acutipennis,,Teale Fristoe,2019-04-28,2019,4,28,1740,United States,US-CA-113,California,Yolo,Cache Creek--Capay bridge vicinity,38.7101609,-122.0473766,Adult Male,,Unspecified,"","",,,,,,,S55539531,"",,,,All flying together around 6:40. Possibly more as I flushed pairs several times as well.,Chordeiles acutipennis,lesnig,Species,3400,,4.67,3,,,
142320171,Photo,Merlin,Falco columbarius,,Teale Fristoe,2019-02-23,2019,2,23,1423,United States,US-CA-001,California,Alameda,Coyote Hills Regional Park,37.5537640,-122.0875025,"",,Unspecified,"","",,,,,,,S53074159,"",,,,Eating a western sandpiper.,Falco columbarius,merlin,Species,11441,,4.67,3,,1532,2497
405129011,Photo,Canvasback,Aythya valisineria,,Teale Fristoe,2022-01-12,2022,1,12,845,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,"",,Unspecified,"","",,,,,,,S100618711,"",,,,,Aythya valisineria,canvas,Species,591,,4.25,4,,2630,3704
291597391,Photo,Northern Pygmy-Owl,Glaucidium gnoma,,Teale Fristoe,2020-12-27,2020,12,27,1048,United States,US-CA-001,California,Alameda,Mines Rd. (ALA Co.),37.5878950,-121.6074071,"",,Unspecified,"","",,,,,,,S78096805,"",,,,Being mobbed by titmice in a tree right by the road.,Glaucidium gnoma,nopowl,Species,8501,,4.25,4,,1641,2014
75145721,Photo,"Barrow's Goldeneye",Bucephala islandica,,Teale Fristoe,2017-11-13,2017,11,13,1100,United States,US-CA-001,California,Alameda,Lake Merritt,37.8035451,-122.2567177,"",,Unspecified,"","",,,,,,,S40491780,"",,,,In the northeast corner of the lake.,Bucephala islandica,bargol,Species,668,,4.25,4,,1740,3492
59327901,Photo,Spotted Towhee,Pipilo maculatus,,Teale Fristoe,2017-05-25,2017,5,25,830,United States,US-CA-069,California,San Benito,Pinnacles NP,36.4891359,-121.1843199,"",,Unspecified,"","",,,,,,,S37149557,"",,,,,Pipilo maculatus,spotow,Species,32129,,4.25,4,,1746,2340
