Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Snow Goose,1,Richmond Marina,US-CA,26 Jan 2019,L615495,S52063005
2,Ross's Goose,100,North of Antioch Bridge,US-CA,09 Mar 2019,L8821678,S53651917
3,Greater White-fronted Goose,25,Holland Tract,US-CA,22 Jan 2019,L593832,S51937084
4,Brant,1,Elsie Roemer Bird Sanctuary,US-CA,11 May 2019,L509134,S56123794
5,Cackling Goose,50,Hayward Regional Shoreline--Winton Ave. access and parking area,US-CA,18 Jan 2019,L470891,S51811263
6,Canada Goose,12,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
7,Mute Swan,2,Las Gallinas Valley Sanitary District,US-CA,19 Mar 2019,L207664,S54022435
8,Trumpeter Swan,2,Rio Hondo Spreading Grounds,US-CA,28 Dec 2019,L264665,S62706880
9,Tundra Swan,75,Holland Tract,US-CA,22 Jan 2019,L593832,S51937084
10,Wood Duck,4,Olympic Blvd Staging Area,US-CA,30 Jan 2019,L9109797,S55334967
11,Garganey,1,Bridgeway Island pond,US-CA,09 Mar 2019,L473045,S53642310
12,Blue-winged Teal,2,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,03 Jan 2019,L161083,S51261170
13,Cinnamon Teal,6,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
14,Northern Shoveler,75,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
15,Gadwall,6,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
16,Eurasian Wigeon,1,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
17,American Wigeon,2,Mountain View Cemetery (ALA Co.),US-CA,02 Jan 2019,L3104978,S51228166
18,Mallard,8,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
19,Northern Pintail,2,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,03 Jan 2019,L161083,S51261170
20,Green-winged Teal,25,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
21,Canvasback,15,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
22,Redhead,4,Woodland/Davis Water Treatment Plant,US-CA,28 Apr 2019,L448084,S55530814
23,Ring-necked Duck,10,Heather Farm Park,US-CA,11 Jan 2019,L373922,S51558311
24,Tufted Duck,1,Emeryville shoreline--near fire station,US-CA,10 Dec 2019,L1801585,S62204609
25,Greater Scaup,1,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
26,Lesser Scaup,10,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
27,Harlequin Duck,1,Port San Luis,US-CA,24 Nov 2019,L621642,S61721088
28,Surf Scoter,3,Richmond Marina,US-CA,09 Jan 2019,L615495,S51509782
29,White-winged Scoter,2,MacKerricher SP--Laguna Pt.,US-CA,26 Oct 2019,L289463,S60947833
30,Black Scoter,2,Richmond Marina,US-CA,09 Jan 2019,L615495,S51509782
31,Long-tailed Duck,2,Miller/Knox Regional Shoreline--Ferry Point,US-CA,03 Feb 2019,L864592,S52336646
32,Bufflehead,25,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
33,Common Goldeneye,12,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
34,Barrow's Goldeneye,8,Lake Merritt--outflow channel,US-CA,19 Jan 2019,L803642,S51832351
35,Hooded Merganser,1,Lake Merritt,US-CA,23 Feb 2019,L268122,S53074169
36,Common Merganser,1,Holland Tract,US-CA,22 Jan 2019,L593832,S51937084
37,Red-breasted Merganser,1,San Francisco Aquatic Park,US-CA,02 Feb 2019,L852525,S52305249
38,Ruddy Duck,10,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
39,Mountain Quail,1,Angeles NF--Charlton Flat,US-CA,29 May 2019,L337315,S56985157
40,California Quail,30,Los Vaqueros Reservoir--Walnut Trail,US-CA,12 Jan 2019,L1798091,S51613000
41,Gambel's Quail,6,Joshua Tree NP--Black Rock Campground,US-CA,25 Mar 2019,L863722,S54295540
42,Ring-necked Pheasant,1,North of Antioch Bridge,US-CA,22 Dec 2019,L8821678,S62540452
43,Greater Sage-Grouse,25,Crowley Lek,US-CA,15 Jun 2019,L720724,S57456338
44,Sooty Grouse,1,Kaiser Peak Trail,US-CA,22 Jul 2019,L9691039,S58430605
45,Wild Turkey,40,Del Valle Regional Park,US-CA,24 Jan 2019,L274775,S52009828
46,Pied-billed Grebe,15,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
47,Horned Grebe,2,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
48,Red-necked Grebe,1,North Spit--Coast Guard Cove,US-CA,20 Apr 2019,L4475376,S55177008
49,Eared Grebe,18,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
50,Western Grebe,3,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
51,Clark's Grebe,1,Richmond Marina,US-CA,09 Jan 2019,L615495,S51509782
52,Rock Pigeon,50,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
53,Band-tailed Pigeon,20,Redwood Regional Park (CC Co.),US-CA,01 Jan 2019,L500405,S51180664
54,Eurasian Collared-Dove,3,Holland Tract,US-CA,22 Jan 2019,L593832,S51937084
55,Inca Dove,5,Niland--International Rd.,US-CA,10 Jul 2019,L364551,S58087863
56,Common Ground Dove,1,Niland--International Rd.,US-CA,10 Jul 2019,L364551,S58087863
57,White-winged Dove,3,Big Morongo Canyon Preserve,US-CA,26 Mar 2019,L420195,S54295338
58,Mourning Dove,20,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
59,Greater Roadrunner,1,Panoche Access Rd.,US-CA,06 Feb 2019,L612424,S52440164
60,Yellow-billed Cuckoo,6,Palo Verde Ecological Reserve,US-CA,12 Jul 2019,L1497396,S58122818
61,Lesser Nighthawk,8,Cache Creek--Capay bridge vicinity,US-CA,28 Apr 2019,L2194995,S55539531
62,Common Nighthawk,3,Lower Rush Creek riparian area,US-CA,14 Jun 2019,L879376,S57455684
63,Common Poorwill,1,Mt. Diablo SP--Mitchell Canyon,US-CA,17 Apr 2019,L275399,S55060109
64,Black Swift,3,Monkeyface Falls viewpoint,US-CA,10 Jul 2019,L952406,S58083565
65,Vaux's Swift,1,Mad River Fish Hatchery,US-CA,20 Apr 2019,L301060,S55183647
66,White-throated Swift,4,Claremont Canyon Regional Preserve,US-CA,23 Jan 2019,L933409,S51971389
67,Black-chinned Hummingbird,1,Los Gatos Creek Trail--Meridian Ave.,US-CA,08 May 2019,L2850878,S56010568
68,Anna's Hummingbird,1,Redwood Regional Park (CC Co.),US-CA,01 Jan 2019,L500405,S51180664
69,Costa's Hummingbird,2,Joshua Tree NP--Cottonwood Campground,US-CA,24 Mar 2019,L2071413,S54260047
70,Rufous Hummingbird,1,Mt. Diablo SP--Mitchell Canyon,US-CA,10 Apr 2019,L275399,S54806350
71,Allen's Hummingbird,2,"300 Virginia Avenue, Moss Beach, California, US (37.524, -122.514)",US-CA,04 Mar 2019,L8758800,S53392427
72,Calliope Hummingbird,8,Mt. Diablo SP--Mitchell Canyon,US-CA,10 Apr 2019,L275399,S54806350
73,Ridgway's Rail,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,03 Jan 2019,L161083,S51261170
74,Virginia Rail,1,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,21 Jan 2019,L161083,S51912577
75,Sora,2,MLK Jr. Regional Shoreline--Arrowhead Marsh,US-CA,21 Jan 2019,L161083,S51912577
76,Common Gallinule,1,Heather Farm Park,US-CA,30 Jan 2019,L373922,S52204773
77,American Coot,100,Lake Merritt,US-CA,02 Jan 2019,L268122,S51224117
78,Black Rail,1,Alviso Marina County Park (please use a specific pond hotspot where possible),US-CA,06 Jul 2019,L296043,S57978651
79,Sandhill Crane,25,Holland Tract,US-CA,22 Jan 2019,L593832,S51937084
80,Black-necked Stilt,3,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
81,American Avocet,150,Coyote Hills Regional Park,US-CA,08 Jan 2019,L216132,S51475224
82,American Oystercatcher,1,Royal Palms Beach,US-CA,28 Nov 2019,L3231275,S61824538
